g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-5304.82,14588,-11713.3
5281.55,4079.08,-11483.4
8673.44,-5430.88,-2337.59
-24899.5,972.417,2748.1
-17760.1,887.1,1728.57
7580.79,-49193.7,-4079.08
-3806.69,-28983,5257.6
-31111.4,9687.21,-4147.58
-3043.62,1064.47,7691.46
-16932.7,-28895.6,24747.7
-13008.1,-15844.5,-11443
-2311.41,2882.24,445.236
-16313.5,-4497.29,-1465.94
5996.7,877.588,16676
5321.53,-5559.8,-1700.34
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
