g_x,g_y,g_z
-0.472397,-0.649528,-0.347511
-1.1842,-1.1096,-0.961694
-1.20184,-0.703965,-0.904671
-0.711981,-0.343583,-0.506722
-0.74598,-1.23517,-0.81832
-2.19602,-2.40866,-2.52885
-2.56183,-1.70235,-2.72661
-1.32051,-0.659835,-1.06962
-0.634578,-1.2466,-0.996395
-2.12506,-2.64029,-2.54773
-2.43456,-2.07811,-2.3295
-1.20872,-0.774495,-1.12943
-0.404222,-0.538432,-0.546572
-1.07993,-0.96999,-1.08872
-1.19525,-0.846237,-1.01004
-0.581016,-0.394765,-0.542792
-0.823208,-1.27112,-0.470942
-2.57034,-2.45142,-1.17981
-2.93773,-1.9878,-1.40158
-1.42296,-0.967878,-0.795204
-0.597851,-2.28373,-1.31896
-4.36913,-5.40977,-3.62607
-6.16662,-3.20248,-4.90657
-3.00715,-1.72888,-1.91245
-0.927281,-2.14953,-1.56343
-3.77544,-4.66499,-4.44699
-5.27604,-2.97358,-4.7835
-2.41201,-1.38769,-1.8947
-0.65648,-0.969462,-0.794898
-1.85083,-1.44783,-1.96438
-2.37675,-1.30788,-2.21845
-1.07167,-0.704308,-0.978869
-0.789263,-1.11891,-0.251096
-2.46217,-2.56471,-0.537832
-3.1701,-2.66567,-0.671733
-1.48704,-1.20338,-0.309268
-0.725209,-1.49649,-0.76699
-3.41905,-4.89573,-1.22794
-6.6132,-5.25671,-1.16391
-3.14122,-2.472,-0.734416
-0.745879,-1.34888,-0.643679
-3.40724,-3.77313,-1.86305
-3.43654,-3.85575,-1.64442
-2.31874,-1.75527,-0.87112
-0.482559,-0.743931,-0.324673
-1.12526,-1.47945,-0.760872
-1.40407,-1.17222,-1.49615
-0.904573,-0.544651,-0.730152
-0.286688,-0.473252,-0.111337
-0.884217,-1.18066,-0.0605507
-1.37433,-1.32396,0.103442
-0.762135,-0.660181,0.0141704
-0.326824,-0.721563,-0.250805
-1.05845,-2.23828,-0.483145
-2.42467,-2.56554,0.506221
-1.38702,-1.22808,0.117604
-0.252161,-0.758295,-0.203565
-0.877266,-2.05277,-0.266464
-1.30259,-2.01109,-0.0382402
-0.932678,-1.01321,-0.0316461
-0.177979,-0.414976,-0.0566042
-0.341228,-0.878655,-0.0931315
-0.402795,-0.702413,-0.354861
-0.295763,-0.343514,-0.196649
