#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge,#species,#cell_id
-0.222383,-0.424583,-0.148052,-170.786,-82.1059,-272.644,0,5e+08,6.63e-26,1.60218e-19,40Ar+,30
-0.340239,0.10219,-0.0360799,149.447,153.393,-227.677,0,5e+08,6.63e-26,1.60218e-19,40Ar+,6
-0.271966,0.273833,0.18666,-13.647,-50.6367,49.8471,0,5e+08,6.63e-26,1.60218e-19,40Ar+,3
0.0895323,0.0481978,-0.0206517,-231.114,-424.618,483.694,0,5e+08,6.63e-26,1.60218e-19,40Ar+,38
0.155534,-0.029571,-0.425113,-419.036,-396.612,122.091,0,5e+08,6.63e-26,1.60218e-19,40Ar+,41
-0.0997607,0.0248778,0.350084,-192.581,-8.07454,-135.465,0,5e+08,6.63e-26,1.60218e-19,40Ar+,24
0.031102,-0.108956,0.405852,36.5195,-345.586,272.418,0,5e+08,6.63e-26,1.60218e-19,40Ar+,44
0.316609,0.158861,-0.0838585,176.928,150.567,-334.374,0,5e+08,6.63e-26,1.60218e-19,40Ar+,54
0.170534,0.00808687,0.0722755,-537.152,129.942,208.232,0,5e+08,6.63e-26,1.60218e-19,40Ar+,39
0.407178,-0.323782,-0.184339,-11.1364,524.173,275.261,0,5e+08,6.63e-26,1.60218e-19,40Ar+,62
0.183018,-0.315137,-0.00472437,156.148,-173.55,78.4601,0,5e+08,6.63e-26,1.60218e-19,40Ar+,46
0.0346496,-0.120888,0.306811,-148.28,10.3644,-319.493,0,5e+08,6.63e-26,1.60218e-19,40Ar+,44
0.401539,0.0414577,-0.447304,108.587,4.43542,-240.564,0,5e+08,6.63e-26,1.60218e-19,40Ar+,53
0.0975633,0.189849,0.362782,249.686,-450.722,-435.469,0,5e+08,6.63e-26,1.60218e-19,40Ar+,40
0.249577,-0.226167,0.248892,-127.257,28.2969,-267.035,0,5e+08,6.63e-26,1.60218e-19,40Ar+,60
-0.368061,-0.0315263,0.00529554,-151.062,113.502,-874.922,0,5e+08,6.63e-26,1.60218e-19,40Ar+,11
-0.440944,0.0229762,-0.204453,502.803,-111.377,29.9338,0,5e+08,6.63e-26,1.60218e-19,40Ar+,6
-0.488802,0.109145,0.381107,-282.72,171.379,-186.246,0,5e+08,6.63e-26,1.60218e-19,40Ar+,8
-0.433916,-0.185961,-0.135215,51.7393,-104.177,81.3877,0,5e+08,6.63e-26,1.60218e-19,40Ar+,10
0.0328747,0.347577,0.486162,291.811,288.78,68.1924,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
0.349299,0.0668158,-0.257019,204.175,-100.813,408.852,0,5e+08,6.63e-26,1.60218e-19,40Ar+,53
-0.247783,-0.118736,0.411689,147.464,426.18,-291.848,0,5e+08,6.63e-26,1.60218e-19,40Ar+,12
-0.459538,-0.173104,0.0856621,-99.2981,436.156,-403.039,0,5e+08,6.63e-26,1.60218e-19,40Ar+,11
0.310745,0.11966,0.314478,-80.4727,260.274,-29.5605,0,5e+08,6.63e-26,1.60218e-19,40Ar+,56
