#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge,#species,#cell_id
-0.37765,-0.00271531,-0.161031,285.004,44.6252,-734.728,0,5e+08,6.63e-26,1.60218e-19,40Ar+,10
0.499151,0.268635,-0.0776377,-278.758,-311.357,-170.242,0,5e+08,6.63e-26,1.60218e-19,40Ar+,50
-0.0969262,-0.189185,0.343221,297.27,37.9659,-160.15,0,5e+08,6.63e-26,1.60218e-19,40Ar+,28
-0.138561,0.141979,-0.332052,180.686,77.3067,-4.32143,0,5e+08,6.63e-26,1.60218e-19,40Ar+,21
-0.0827945,-0.0695446,-0.321718,471.423,143.653,187.941,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
0.431227,-0.46216,0.219317,136.595,-395.427,-471.543,0,5e+08,6.63e-26,1.60218e-19,40Ar+,63
0.259601,0.169446,0.0444416,-67.6264,314.548,120.06,0,5e+08,6.63e-26,1.60218e-19,40Ar+,55
0.109275,0.494696,0.145232,-256.02,-201.835,114.832,0,5e+08,6.63e-26,1.60218e-19,40Ar+,35
0.498359,0.0134331,-0.421467,104.669,133.77,299.755,0,5e+08,6.63e-26,1.60218e-19,40Ar+,53
-0.266731,-0.224807,-0.109465,42.8484,9.90924,-112.155,0,5e+08,6.63e-26,1.60218e-19,40Ar+,10
-0.3742,-0.496559,0.158078,133.645,-479.679,-316.548,0,5e+08,6.63e-26,1.60218e-19,40Ar+,15
-0.476809,-0.0960683,-0.316321,-71.4368,121.054,-194.082,0,5e+08,6.63e-26,1.60218e-19,40Ar+,9
0.355994,0.0589808,-0.366497,490.341,-407.487,346.527,0,5e+08,6.63e-26,1.60218e-19,40Ar+,53
-0.272185,-0.299119,-0.269278,483.452,73.5619,467.012,0,5e+08,6.63e-26,1.60218e-19,40Ar+,13
0.00554779,-0.410014,-0.185438,443.483,44.6608,256.609,0,5e+08,6.63e-26,1.60218e-19,40Ar+,30
-0.053799,-0.24173,0.200832,113.883,290.743,-86.0451,0,5e+08,6.63e-26,1.60218e-19,40Ar+,27
-0.167428,-0.161867,-0.158975,-190.486,-395.734,121.185,0,5e+08,6.63e-26,1.60218e-19,40Ar+,26
-0.249738,-0.11072,-0.453176,231.665,-60.0313,-205.75,0,5e+08,6.63e-26,1.60218e-19,40Ar+,9
0.107,0.192202,-0.104137,277.931,-298.219,-44.8311,0,5e+08,6.63e-26,1.60218e-19,40Ar+,38
0.49436,-0.448901,0.144607,-332.581,210.347,26.5651,0,5e+08,6.63e-26,1.60218e-19,40Ar+,63
0.34426,0.487193,-0.0531689,253.06,293.214,46.7954,0,5e+08,6.63e-26,1.60218e-19,40Ar+,50
0.210655,0.196564,0.294741,-42.4627,-8.38796,-40.4878,0,5e+08,6.63e-26,1.60218e-19,40Ar+,40
0.035209,0.0919338,-0.443087,-14.6773,499.972,196.772,0,5e+08,6.63e-26,1.60218e-19,40Ar+,37
-0.250676,0.355698,-0.360853,-131.938,-196.978,-294.063,0,5e+08,6.63e-26,1.60218e-19,40Ar+,17
-0.490107,-0.0351786,0.256796,148.93,-141.609,-759.355,0,5e+08,6.63e-26,1.60218e-19,40Ar+,12
-0.240896,0.29316,-0.217255,95.6177,562.235,-210.158,0,5e+08,6.63e-26,1.60218e-19,40Ar+,18
-0.026473,-0.482829,-0.457921,240.135,-180.327,-299.415,0,5e+08,6.63e-26,1.60218e-19,40Ar+,29
-0.27498,0.179093,-0.483217,-295.955,131.361,-5.85819,0,5e+08,6.63e-26,1.60218e-19,40Ar+,5
-0.232112,0.391951,0.0836485,-55.961,200.701,466.979,0,5e+08,6.63e-26,1.60218e-19,40Ar+,19
-0.0293249,-0.119519,-0.178947,-261.354,29.1196,211.389,0,5e+08,6.63e-26,1.60218e-19,40Ar+,26
-0.0415391,-0.0811871,0.494735,53.8007,-474.494,-309.862,0,5e+08,6.63e-26,1.60218e-19,40Ar+,28
0.176689,-0.474896,0.354019,-253.298,184.389,-111.169,0,5e+08,6.63e-26,1.60218e-19,40Ar+,48
-0.439075,0.145186,-0.410866,-104.364,-37.3979,661.926,0,5e+08,6.63e-26,1.60218e-19,40Ar+,5
-0.156586,-0.396761,0.232418,432.824,-21.1263,105.148,0,5e+08,6.63e-26,1.60218e-19,40Ar+,31
0.34235,0.239015,-0.0338928,-568.57,126.959,16.1744,0,5e+08,6.63e-26,1.60218e-19,40Ar+,54
0.421644,-0.439277,-0.35695,274.424,22.7127,-41.9597,0,5e+08,6.63e-26,1.60218e-19,40Ar+,61
-0.410683,0.0875111,0.256564,7.20732,40.1371,-99.444,0,5e+08,6.63e-26,1.60218e-19,40Ar+,8
