g_x,g_y,g_z
-7.43055e-13,-1.2692e-12,-1.95407e-12
-1.0777e-12,-2.7353e-12,-4.3605e-12
-3.95813e-13,-2.32474e-12,-5.37188e-12
-8.06139e-14,-1.00913e-12,-2.88082e-12
-1.01301e-12,-2.49711e-12,-4.27193e-12
-1.72644e-12,-6.03535e-12,-9.9998e-12
-2.47794e-13,-5.46986e-12,-1.39005e-11
-1.23758e-13,-2.13887e-12,-6.67729e-12
4.06889e-14,-1.9651e-12,-5.53173e-12
3.73334e-13,-4.49123e-12,-1.38251e-11
4.15209e-13,-3.66398e-12,-1.58305e-11
-1.71515e-13,-1.66463e-12,-7.2102e-12
1.75269e-13,-7.79735e-13,-3.21449e-12
3.76449e-13,-1.42092e-12,-7.06972e-12
1.08942e-13,-1.09613e-12,-7.45387e-12
-1.16744e-13,-5.09761e-13,-3.65119e-12
-1.85721e-12,-1.68515e-12,-4.12771e-12
-2.77899e-12,-3.81702e-12,-8.65311e-12
-1.18145e-12,-2.67464e-12,-8.98358e-12
-3.63514e-13,-1.22183e-12,-4.62629e-12
-3.80301e-12,-3.31698e-12,-8.72656e-12
-6.81384e-12,-1.11668e-11,-2.19332e-11
-1.82672e-12,-7.91024e-12,-2.7202e-11
-1.09796e-12,-2.95057e-12,-1.11765e-11
-8.94009e-13,-3.12871e-12,-1.1083e-11
-1.6245e-12,-7.92113e-12,-3.21942e-11
-1.75364e-12,-6.40684e-12,-3.29341e-11
-1.45514e-12,-1.92257e-12,-1.2867e-11
-6.67252e-14,-1.20347e-12,-6.03704e-12
-8.48528e-14,-1.66028e-12,-1.38498e-11
-8.45151e-13,-1.47289e-13,-1.40524e-11
-7.59013e-13,-4.41292e-14,-6.49835e-12
-2.27125e-12,-4.2079e-13,-4.63225e-12
-3.69853e-12,-4.37546e-13,-9.35674e-12
-2.15993e-12,-5.46654e-13,-6.70513e-12
-6.50187e-13,-1.46009e-13,-3.24261e-12
-5.15667e-12,-6.63271e-13,-9.96775e-12
-9.90872e-12,1.37288e-12,-2.29766e-11
-3.95951e-12,2.68672e-12,-1.36715e-11
-1.39089e-12,1.00937e-12,-7.18885e-12
-3.57313e-12,-9.19302e-13,-1.1085e-11
-5.67224e-12,-3.30276e-14,-2.53397e-11
-6.69869e-12,7.69796e-12,-2.1206e-11
-2.47331e-12,2.77695e-12,-9.00635e-12
-9.87961e-13,-5.29682e-13,-5.47502e-12
-2.01104e-12,-1.09168e-13,-1.1324e-11
-3.18574e-12,2.51357e-12,-1.10885e-11
-1.46741e-12,1.43707e-12,-5.16743e-12
-1.22925e-12,3.20556e-13,-2.39332e-12
-2.02528e-12,1.00256e-12,-4.29361e-12
-1.31687e-12,8.79543e-13,-3.20079e-12
-4.34764e-13,3.91588e-13,-1.40889e-12
-2.60523e-12,8.94447e-13,-4.84661e-12
-4.68558e-12,3.69851e-12,-9.16192e-12
-2.59762e-12,3.69346e-12,-6.62917e-12
-9.31344e-13,1.50358e-12,-2.95226e-12
-2.24993e-12,6.78375e-13,-4.94762e-12
-4.52586e-12,3.15001e-12,-8.88587e-12
-3.73936e-12,4.88611e-12,-7.34297e-12
-1.45154e-12,2.14383e-12,-3.51364e-12
-8.61847e-13,1.66232e-13,-2.49653e-12
-1.7924e-12,9.58934e-13,-4.6045e-12
-1.94544e-12,1.89698e-12,-4.28674e-12
-8.99003e-13,1.08753e-12,-2.1017e-12
