g_x,g_y,g_z
13.2576,-7.42957,-2.90278
24.5808,-9.10441,-8.98408
20.8583,-4.26115,-7.32758
7.25654,-0.339552,-3.13103
31.4695,-18.2312,7.36446
59.8836,-22.4325,0.75128
42.7462,-0.84941,-4.17667
11.0607,2.76961,-3.82016
35.3988,-18.9202,26.8563
68.5266,-23.8786,42.1949
33.0521,6.58052,19.4038
6.97126,8.93629,-1.44425
16.5512,-7.70923,16.3674
27.8772,-6.96325,25.5544
13.6754,6.27311,12.5386
2.23521,6.50616,1.06397
22.022,-16.2524,-6.29402
36.5667,-18.9238,-21.9145
29.3693,-8.38889,-16.033
9.22824,-0.847231,-6.54526
57.8571,-45.6593,9.63099
134.982,-61.8342,-16.749
55.0634,2.54506,-48.2612
8.51054,7.58398,-13.6124
63.3954,-46.3695,65.4551
152.192,-73.9361,129.596
17.2043,54.423,1.4797
-5.71106,27.2763,-12.3955
23.7483,-17.6085,30.511
38.6798,-16.2777,52.1434
6.77241,23.106,21.8653
-4.97224,17.4506,1.73677
13.3426,-17.7376,-2.62482
23.8426,-23.6113,-14.4393
8.13579,-12.7972,-10.921
1.11431,1.56621,-6.47293
24.021,-49.1502,9.99549
32.7478,-88.2781,20.1486
-5.61178,-6.4719,-19.8206
-7.8426,18.2464,-13.7725
19.1152,-50.0093,24.1582
-43.5024,-109.569,34.6713
-93.2638,47.4772,36.0608
-30.5309,35.3286,-0.565734
4.22423,-21.3255,16.1539
-19.7512,-28.7799,29.8632
-40.6403,19.2716,29.5566
-18.3643,18.2733,6.77915
2.53883,-9.46288,0.168597
2.46606,-13.6549,-2.48535
-1.54597,-4.70401,-3.74672
-1.98786,1.09252,-2.73305
-0.908676,-22.4133,4.18595
-17.635,-31.4334,3.84854
-19.8982,1.74343,-3.29844
-10.3392,9.32192,-4.62576
-6.51644,-24.2558,6.06136
-38.4178,-34.1184,11.4055
-42.7183,15.1729,10.0233
-18.4355,15.4483,1.2216
-4.65197,-11.017,4.12363
-19.6746,-12.2579,7.95288
-24.963,6.24067,10.951
-11.667,8.22292,3.86864
