g_x,g_y,g_z
16.3686,-9.48281,-1.97248
31.7287,-12.8571,-7.48938
29.1374,-7.618,-6.18878
11.503,-1.81791,-2.61011
37.2216,-22.0446,9.70132
74.0121,-29.3019,5.13108
60.1239,-6.51505,-0.216569
19.3103,0.570108,-1.9513
40.513,-22.4439,29.8209
80.6857,-29.8534,48.6209
47.6952,2.28539,26.4454
14.0207,7.47802,1.88321
18.8915,-9.38847,18.1775
32.9893,-9.68786,29.597
19.3903,4.35806,17.1165
5.16557,5.8563,3.34521
27.7221,-21.0756,-4.39732
50.0707,-28.3219,-19.1059
45.139,-16.807,-14.4371
16.7819,-4.29951,-5.81332
68.4481,-55.091,14.7179
163.46,-81.2317,-6.93671
92.3846,-13.0908,-40.82
23.2517,2.52166,-10.208
72.4816,-55.0234,72.0236
174.491,-90.1393,145.943
44.685,44.2213,21.7166
5.73848,24.5852,-4.51101
27.7118,-21.4954,34.4478
47.0769,-22.9031,61.8825
15.6806,18.7917,33.6511
-0.598691,16.1248,7.01382
18.4001,-23.4738,-0.554212
35.2249,-35.5276,-11.389
20.3863,-23.5107,-9.40985
6.92871,-2.66803,-5.70154
33.1274,-60.841,15.6619
54.1412,-115.552,31.8997
17.1696,-29.5361,-10.8105
1.76832,11.1588,-9.56913
26.6727,-60.7154,31.473
-28.7929,-132.089,54.3414
-81.9195,31.3798,61.7549
-24.3424,30.4011,8.72542
7.42635,-25.9261,20.4896
-14.2304,-37.0871,40.8396
-36.2423,13.3529,42.3642
-15.9069,16.1701,12.521
4.74679,-12.6171,1.3125
6.85075,-19.9136,-0.623533
2.7202,-10.3696,-2.40215
0.148574,-1.29994,-2.08434
2.83505,-28.5995,7.15513
-10.7139,-44.1068,9.79802
-14.092,-9.15578,2.13968
-7.35283,5.15768,-2.02943
-3.46635,-29.9269,9.82662
-33.6493,-44.9839,20.1663
-39.7906,6.44765,19.8942
-16.6638,12.0874,5.72386
-3.33807,-13.5386,6.36526
-17.7795,-16.7463,13.0912
-23.7217,2.66206,16.6892
-10.9662,6.77035,6.69454
