g_x,g_y,g_z
-0.175453,0.713629,0.0799207
0.52776,0.856081,0.246044
1.71411,-0.341335,0.501569
1.12309,-0.603544,0.415972
-1.0558,1.4669,0.394641
-0.209886,1.885,1.28707
3.3397,-0.717894,1.93375
2.1184,-1.28829,1.35696
-1.43547,1.06069,0.873408
-1.83267,1.46232,2.90599
1.20626,-0.667055,4.25142
1.48713,-1.07427,2.07449
-0.775091,0.350701,0.592252
-1.24318,0.332824,1.79681
-0.262408,-0.553712,2.33977
0.327006,-0.526919,1.21998
-0.164075,1.30892,0.094583
1.47334,1.96595,0.395293
3.8161,-1.85726,0.969236
2.15713,-1.75518,0.721585
-2.06793,2.63945,0.455138
-1.02209,4.69056,1.60325
10.6939,-5.85271,3.04694
4.52198,-4.27479,2.55012
-3.19487,1.45964,1.32009
-6.54669,3.27958,6.30808
3.33639,-5.3165,10.9373
3.4354,-3.32895,3.97044
-1.54406,0.25782,0.78941
-2.70877,-0.0721317,2.88934
-0.977626,-2.23039,4.64322
0.606046,-1.36909,2.19216
0.0987163,0.818443,0.29154
1.38157,0.794542,0.887181
3.0503,-2.30019,1.10276
1.85018,-1.83473,0.743324
-0.595918,0.806582,0.477589
2.67221,-0.0189634,1.65575
7.20373,-7.19816,2.83169
3.26894,-4.11818,2.17076
-2.22779,-0.715766,-0.554662
-4.28881,-3.93442,-2.09953
1.65421,-7.19689,2.82101
1.686,-3.60189,2.61648
-1.30124,-0.570433,-0.135124
-2.1086,-1.92335,0.314849
-0.686678,-2.43307,2.51255
0.342197,-1.45425,1.54161
0.134446,0.190048,0.14663
0.722432,-0.0524781,0.346367
1.28237,-0.964031,0.568001
0.781813,-0.813468,0.396486
-0.0555118,0.0266465,0.0156225
1.07116,-0.282866,0.124441
2.14623,-2.54351,1.13127
1.17655,-1.69799,0.939409
-0.667037,-0.572296,-0.522949
-0.941417,-1.60527,-1.0204
0.0814909,-2.81794,0.414119
0.435548,-1.61997,0.860879
-0.499207,-0.440062,-0.279649
-0.749299,-1.14775,-0.278743
-0.331282,-1.32605,0.36497
0.0533378,-0.752639,0.464852
g_x,g_y,g_z
1.00536,1.48352,0.731011
1.72597,2.64826,1.21565
1.29479,2.18925,0.515627
0.436024,0.90227,-0.0641738
1.5607,3.07737,1.07124
2.63049,5.56776,1.68473
1.96145,4.82273,0.112455
0.482992,1.883,-0.600098
0.871951,3.10191,0.181915
1.05159,6.076,-0.98923
0.0482481,4.71989,-1.87661
-0.188368,2.0194,-1.03377
