#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge_number,#species,#cell_id
0.105661,-0.0659696,0.361147,-24.8541,42.7579,138.525,0,5e+08,1e-26,-1.60218e-19,e-,351
0.480262,-0.382129,0.17374,-92.9506,82.7137,-154.375,0,5e+08,1e-26,-1.60218e-19,e-,498
0.313857,-0.132365,0.401742,34.3499,44.6593,-48.0908,0,5e+08,1e-26,-1.60218e-19,e-,478
0.11751,0.0390902,0.0780694,21.5997,8.84119,-1.1281,0,5e+08,1e-26,-1.60218e-19,e-,309
-0.118976,0.196444,0.182183,3.05861,-77.2245,-12.3587,0,5e+08,1e-26,-1.60218e-19,e-,180
0.0172143,0.280893,0.0273116,-45.8671,135.204,-84.7063,0,5e+08,1e-26,-1.60218e-19,e-,277
0.212612,0.177897,0.0412595,-12.4735,117.926,-69.3492,0,5e+08,1e-26,-1.60218e-19,e-,307
-0.393554,-0.433206,-0.12646,-184.882,-63.8696,14.9311,0,5e+08,1e-26,-1.60218e-19,e-,109
0.385405,-0.238522,0.24419,71.2005,-101.339,-103.689,0,5e+08,1e-26,-1.60218e-19,e-,466
-0.425819,-0.33623,0.355171,-19.553,147.507,6.32956,0,5e+08,1e-26,-1.60218e-19,e-,127
-0.0147148,-0.227924,0.27247,-17.218,-118.499,-104.833,0,5e+08,1e-26,-1.60218e-19,e-,217
-0.136611,0.298516,0.0468714,116.188,81.9299,185.776,0,5e+08,1e-26,-1.60218e-19,e-,149
0.263282,-0.445994,-0.0122881,-26.4168,-42.366,58.2379,0,5e+08,1e-26,-1.60218e-19,e-,494
-0.0852743,0.335688,0.096087,95.2993,20.9774,0.146415,0,5e+08,1e-26,-1.60218e-19,e-,145
0.437574,-0.265516,0.441111,43.172,101.554,-119.76,0,5e+08,1e-26,-1.60218e-19,e-,508
-0.22024,0.493932,-0.00253805,85.4216,-68.2642,86.1915,0,5e+08,1e-26,-1.60218e-19,e-,144
-0.487474,0.0237253,-0.133587,-171.869,115.596,28.8448,0,5e+08,1e-26,-1.60218e-19,e-,45
