#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge_number,#species,#cell_id
-0.00242523,0.258851,-0.075556,83.6805,14.113,-123.465,0,1e+09,1e-26,-1.60218e-19,e-,138
0.486876,-0.188195,-0.123051,-110.389,11.3539,-120.861,0,1e+09,1e-26,-1.60218e-19,e-,458
0.43058,0.344462,-0.495892,-36.5332,95.5063,138.333,0,1e+09,1e-26,-1.60218e-19,e-,385
0.463948,0.0589734,0.0599819,-36.8874,-49.0026,140.793,0,1e+09,1e-26,-1.60218e-19,e-,433
0.0732227,0.178077,-0.361577,-39.044,-202.509,32.7131,0,1e+09,1e-26,-1.60218e-19,e-,296
0.231322,-0.20652,0.0827388,52.67,7.06411,2.8605,0,1e+09,1e-26,-1.60218e-19,e-,337
0.288005,-0.237905,-0.113251,-36.1834,107.036,-43.164,0,1e+09,1e-26,-1.60218e-19,e-,462
0.0193774,-0.0539663,0.405959,-45.034,-97.3772,24.2266,0,1e+09,1e-26,-1.60218e-19,e-,352
-0.328075,0.00969838,-0.0124688,-118.442,108.079,-69.1867,0,1e+09,1e-26,-1.60218e-19,e-,42
0.0426013,0.469619,-0.394009,-77.6901,-81.2658,-85.093,0,1e+09,1e-26,-1.60218e-19,e-,263
0.274009,0.471092,-0.3146,-60.1225,110.899,87.7745,0,1e+09,1e-26,-1.60218e-19,e-,392
0.19361,-0.264316,-0.139024,-10.4438,43.7179,133.283,0,1e+09,1e-26,-1.60218e-19,e-,363
0.0357377,0.341364,-0.372109,-30.0823,55.5303,-16.8034,0,1e+09,1e-26,-1.60218e-19,e-,262
-0.395856,-0.223685,-0.338427,87.4511,-104.025,84.8946,0,1e+09,1e-26,-1.60218e-19,e-,70
0.447198,-0.19198,-0.436874,76.2982,43.7341,-34.3343,0,1e+09,1e-26,-1.60218e-19,e-,449
0.400905,0.163675,0.0140125,58.0212,117.468,-50.4831,0,1e+09,1e-26,-1.60218e-19,e-,435
-0.077127,-0.368476,-0.118222,-37.7582,-39.9706,89.5891,0,1e+09,1e-26,-1.60218e-19,e-,236
-0.29675,0.231948,0.326053,-71.1965,33.7606,109.68,0,1e+09,1e-26,-1.60218e-19,e-,59
-0.419813,0.0351037,0.13994,113.887,-117.829,-74.1569,0,1e+09,1e-26,-1.60218e-19,e-,54
-0.105457,0.169689,-0.352967,147.15,68.1528,-123.94,0,1e+09,1e-26,-1.60218e-19,e-,164
0.225897,0.0186242,-0.344974,-154.609,-46.3322,90.9358,0,1e+09,1e-26,-1.60218e-19,e-,290
0.278073,0.237373,-0.326638,-123.536,7.29017,79.7769,0,1e+09,1e-26,-1.60218e-19,e-,424
-0.0246389,0.191669,-0.34185,-31.7004,97.275,69.8802,0,1e+09,1e-26,-1.60218e-19,e-,164
-0.116089,-0.281115,-0.10343,1.37221,36.0291,14.5464,0,1e+09,1e-26,-1.60218e-19,e-,236
-0.375615,0.416593,-0.451694,-26.26,-120.768,54.784,0,1e+09,1e-26,-1.60218e-19,e-,7
-0.0373509,0.0346181,0.162704,15.6857,-77.4367,-33.5728,0,1e+09,1e-26,-1.60218e-19,e-,178
0.148138,0.469335,0.137193,-77.9411,43.0843,-111.251,0,1e+09,1e-26,-1.60218e-19,e-,276
-0.423775,-0.447696,-0.374348,-121.554,-0.794741,-98.8638,0,1e+09,1e-26,-1.60218e-19,e-,102
0.142754,-0.382494,0.361061,-7.97767,-34.3003,71.7897,0,1e+09,1e-26,-1.60218e-19,e-,377
0.0390707,0.472379,-0.228213,62.4325,-53.1633,26.8481,0,1e+09,1e-26,-1.60218e-19,e-,271
-0.0626049,0.154613,0.204393,-117.545,-49.1734,-74.508,0,1e+09,1e-26,-1.60218e-19,e-,180
-0.469691,0.183777,0.0163767,-94.3065,-54.9005,24.6568,0,1e+09,1e-26,-1.60218e-19,e-,55
-0.28425,0.168091,-0.118632,-51.5801,96.1456,-42.0466,0,1e+09,1e-26,-1.60218e-19,e-,44
-0.463229,0.284351,0.428479,23.5334,-109.947,-2.44373,0,1e+09,1e-26,-1.60218e-19,e-,30
