#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#weight,#mass,#charge_number,#species
-0.385735,-0.245425,0.263642,-16.636,-66.988,-33.2606,500000000,6.63E-26,1,40Ar+
-0.482557,-0.421774,0.294702,-1.55388,-1.69488,15.9056,500000000,6.63E-26,1,40Ar+
-0.417008,0.0354138,0.288883,-44.5971,-26.9287,-39.706,500000000,6.63E-26,1,40Ar+
-0.412042,-0.366634,0.0129905,36.471,-2.01416,77.2599,500000000,6.63E-26,1,40Ar+
-0.460381,0.460742,-0.184092,9.29315,-65.6829,50.514,500000000,6.63E-26,1,40Ar+
0.461949,-0.45276,-0.312348,-13.015,80.9026,1.37558,500000000,6.63E-26,1,40Ar+
-0.481323,-0.249387,-0.0712702,39.2817,-17.9396,30.7632,500000000,6.63E-26,1,40Ar+
0.321914,0.389659,0.445387,-5.93654,3.95526,41.8997,500000000,6.63E-26,1,40Ar+
0.0991077,0.297284,-0.222823,36.4118,-50.6189,-3.45518,500000000,6.63E-26,1,40Ar+
-0.106252,0.316539,0.0303653,-50.9268,-10.2699,23.5801,500000000,6.63E-26,1,40Ar+
-0.388251,0.203387,0.367356,48.5609,19.1177,-27.7499,500000000,6.63E-26,1,40Ar+
0.357234,-0.198776,0.227345,-8.19105,-32.9029,-56.2034,500000000,6.63E-26,1,40Ar+
-0.211306,-0.123262,0.383329,3.71013,-86.8735,6.95464,500000000,6.63E-26,1,40Ar+
-0.49429,0.278776,0.114761,-10.4723,-2.82144,-8.46252,500000000,6.63E-26,1,40Ar+
-0.112918,0.485569,0.0147227,-0.12482,19.8969,25.1229,500000000,6.63E-26,1,40Ar+
0.128961,-0.0757732,0.259726,22.6097,4.0333,54.0496,500000000,6.63E-26,1,40Ar+
-0.066328,-0.168584,0.440919,-8.42418,28.0941,-1.55456,500000000,6.63E-26,1,40Ar+
0.0465361,-0.229774,-0.0503506,-5.96022,-26.6261,24.2694,500000000,6.63E-26,1,40Ar+
-0.200531,0.228261,0.284119,-6.6342,-40.7731,9.80869,500000000,6.63E-26,1,40Ar+
-0.00290322,-0.2309,0.256889,-23.9195,-53.9175,49.3319,500000000,6.63E-26,1,40Ar+
-0.387371,-0.170944,0.0172862,37.1227,-47.0098,-16.8177,500000000,6.63E-26,1,40Ar+
0.204106,0.128882,0.0425593,13.0075,-100.139,10.6161,500000000,6.63E-26,1,40Ar+
0.217021,-0.447246,-0.0773233,40.1122,21.2112,-4.62445,500000000,6.63E-26,1,40Ar+
0.255349,-0.00227115,0.233804,77.7403,12.6351,7.19082,500000000,6.63E-26,1,40Ar+
-0.359404,-0.346848,-0.275404,-3.92027,-16.4753,-37.4841,500000000,6.63E-26,1,40Ar+
-0.260797,-0.136383,0.176452,5.87162,-14.3713,4.39491,500000000,6.63E-26,1,40Ar+
-0.421552,0.2102,0.398715,8.34925,13.7889,7.04332,500000000,6.63E-26,1,40Ar+
0.254821,-0.144229,0.265685,20.2539,52.2071,-49.9967,500000000,6.63E-26,1,40Ar+
-0.159739,-0.0889404,0.226225,-7.9472,-12.5198,3.08,500000000,6.63E-26,1,40Ar+
0.377495,-0.0139554,0.182175,-20.2829,-32.7915,-8.99677,500000000,6.63E-26,1,40Ar+
-0.364148,-0.174474,0.397022,-13.5208,-38.5634,33.963,500000000,6.63E-26,1,40Ar+
0.0691494,0.161826,-0.156206,-110.153,-30.4078,-31.8789,500000000,6.63E-26,1,40Ar+
