#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge,#species,#cell_id
0.481066,-0.0734728,0.0329145,8.05386,10.9478,26.5254,0,5e+08,6.63e-26,1.60218e-19,40Ar+,59
-0.357281,-0.200921,-0.440497,170.85,63.2981,-57.4613,0,5e+08,6.63e-26,1.60218e-19,40Ar+,9
-0.0895087,0.127936,-0.480991,23.5724,51.027,124.551,0,5e+08,6.63e-26,1.60218e-19,40Ar+,21
0.359348,-0.25781,0.114272,-130.283,148.344,-18.8219,0,5e+08,6.63e-26,1.60218e-19,40Ar+,63
-0.31895,-0.449347,0.42157,244.058,109.196,97.5715,0,5e+08,6.63e-26,1.60218e-19,40Ar+,16
0.0915956,-0.473755,-0.249113,8.51804,94.8553,-134,0,5e+08,6.63e-26,1.60218e-19,40Ar+,46
-0.332626,0.226708,0.429087,229.152,147.703,-111.294,0,5e+08,6.63e-26,1.60218e-19,40Ar+,8
0.388728,-0.0265493,0.131244,-46.4107,63.2917,-219.035,0,5e+08,6.63e-26,1.60218e-19,40Ar+,59
0.378426,-0.271809,-0.40691,-52.449,104.528,43.4117,0,5e+08,6.63e-26,1.60218e-19,40Ar+,61
-0.361637,-0.0652885,0.322837,-149.709,-130.78,96.9469,0,5e+08,6.63e-26,1.60218e-19,40Ar+,12
0.161243,0.449285,0.266542,-145.894,-24.7994,-73.9192,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
-0.437238,-0.380248,0.181809,-31.0322,221.15,101.732,0,5e+08,6.63e-26,1.60218e-19,40Ar+,15
0.0655531,-0.0674179,-0.413616,-90.1823,284.958,-44.4536,0,5e+08,6.63e-26,1.60218e-19,40Ar+,41
0.104142,0.261237,0.297288,76.2298,253.122,62.0675,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
-0.324018,-0.4211,0.487589,-43.4114,46.3603,-277.055,0,5e+08,6.63e-26,1.60218e-19,40Ar+,16
0.293871,-0.254309,-0.140464,81.9761,59.8074,173.418,0,5e+08,6.63e-26,1.60218e-19,40Ar+,62
-0.157659,-0.263341,0.192879,-220.43,-205.161,75.8406,0,5e+08,6.63e-26,1.60218e-19,40Ar+,31
0.358805,0.0497916,0.348805,45.5258,-191.981,-129.798,0,5e+08,6.63e-26,1.60218e-19,40Ar+,56
-0.489938,-0.457353,0.355885,186.103,-88.9879,-115.602,0,5e+08,6.63e-26,1.60218e-19,40Ar+,16
-0.439475,0.379183,-0.480306,177.839,323.775,158.78,0,5e+08,6.63e-26,1.60218e-19,40Ar+,1
-0.479247,-0.308628,-0.0104984,-36.2306,4.73052,146.787,0,5e+08,6.63e-26,1.60218e-19,40Ar+,14
0.276533,0.309744,-0.217849,69.9308,-66.5414,-85.038,0,5e+08,6.63e-26,1.60218e-19,40Ar+,50
-0.318799,-0.488482,0.273919,-35.0226,73.9902,21.015,0,5e+08,6.63e-26,1.60218e-19,40Ar+,16
-0.131544,0.239083,0.107109,-52.6625,38.1476,-228.378,0,5e+08,6.63e-26,1.60218e-19,40Ar+,23
-0.32728,-0.444269,-0.220107,75.4627,73.4862,113.918,0,5e+08,6.63e-26,1.60218e-19,40Ar+,14
-0.253951,-0.396142,0.48992,204.517,59.8949,153.973,0,5e+08,6.63e-26,1.60218e-19,40Ar+,16
-0.181171,-0.470923,-0.265461,43.0539,114.823,110.544,0,5e+08,6.63e-26,1.60218e-19,40Ar+,29
0.385478,0.347759,0.241231,176.32,-111.028,7.64185,0,5e+08,6.63e-26,1.60218e-19,40Ar+,51
0.30108,-0.0050384,0.220727,211.636,-122.926,-51.3564,0,5e+08,6.63e-26,1.60218e-19,40Ar+,59
-0.159092,-0.261211,-0.403544,-77.5052,-176.358,-87.4648,0,5e+08,6.63e-26,1.60218e-19,40Ar+,29
0.0602594,-0.145166,-0.275804,128.767,-23.3953,179.796,0,5e+08,6.63e-26,1.60218e-19,40Ar+,41
0.0372346,-0.243776,-0.353026,-186.441,120.895,-170.822,0,5e+08,6.63e-26,1.60218e-19,40Ar+,41
0.0740218,0.455897,0.0397874,-202.577,-54.2688,95.3921,0,5e+08,6.63e-26,1.60218e-19,40Ar+,35
0.352125,-0.18759,0.49311,120.578,152.574,45.2792,0,5e+08,6.63e-26,1.60218e-19,40Ar+,60
0.11624,0.423017,-0.171283,-136.041,-25.7222,-61.4739,0,5e+08,6.63e-26,1.60218e-19,40Ar+,34
0.0426146,-0.138802,0.336175,145.163,-28.256,-21.4337,0,5e+08,6.63e-26,1.60218e-19,40Ar+,44
-0.120469,-0.220005,-0.272441,132.547,2.14999,-346.19,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
0.432604,-0.486931,0.0987972,127.717,-136.989,352.787,0,5e+08,6.63e-26,1.60218e-19,40Ar+,63
0.208832,-0.143824,0.00928902,-74.2625,31.5993,-207.995,0,5e+08,6.63e-26,1.60218e-19,40Ar+,43
-0.0322956,-0.193505,0.183774,-222.807,123.185,117.722,0,5e+08,6.63e-26,1.60218e-19,40Ar+,27
0.22087,0.032881,0.29215,180.049,68.4859,-220.655,0,5e+08,6.63e-26,1.60218e-19,40Ar+,40
-0.414521,-0.148807,0.324508,-82.103,-49.6423,-57.708,0,5e+08,6.63e-26,1.60218e-19,40Ar+,12
0.336414,-0.390444,-0.49041,77.0825,-5.59388,300.189,0,5e+08,6.63e-26,1.60218e-19,40Ar+,61
-0.113903,-0.17891,-0.466133,-15.6617,98.2911,165.852,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
0.490886,-0.0965854,0.142433,99.8061,78.6581,169.448,0,5e+08,6.63e-26,1.60218e-19,40Ar+,59
-0.421486,-0.0488908,-0.189644,220.475,-144.348,212.954,0,5e+08,6.63e-26,1.60218e-19,40Ar+,10
-0.175794,-0.0783784,0.144337,-121.062,-217.037,97.2255,0,5e+08,6.63e-26,1.60218e-19,40Ar+,27
0.177854,-0.28898,0.363613,110.562,-130.067,42.1472,0,5e+08,6.63e-26,1.60218e-19,40Ar+,48
0.223796,-0.265693,-0.133315,200.81,-238.118,28.8571,0,5e+08,6.63e-26,1.60218e-19,40Ar+,46
-0.0826009,0.249276,0.371135,99.1599,6.40852,242.878,0,5e+08,6.63e-26,1.60218e-19,40Ar+,24
-0.436739,-0.315858,0.408965,154.492,68.2183,-71.3115,0,5e+08,6.63e-26,1.60218e-19,40Ar+,16
-0.087015,-0.0735225,-0.348819,25.2419,226.153,-131.735,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
0.0514148,0.338994,0.152714,51.1028,-45.7893,-45.8488,0,5e+08,6.63e-26,1.60218e-19,40Ar+,35
-0.304279,0.399727,0.166068,52.3835,103.866,94.7409,0,5e+08,6.63e-26,1.60218e-19,40Ar+,3
0.268142,-0.480247,0.398013,50.9658,-141.992,83.8792,0,5e+08,6.63e-26,1.60218e-19,40Ar+,64
0.228228,-0.266975,-0.167039,134.516,-3.60404,8.1719,0,5e+08,6.63e-26,1.60218e-19,40Ar+,46
-0.0187323,0.182263,-0.172363,151.813,-112.034,100.825,0,5e+08,6.63e-26,1.60218e-19,40Ar+,22
0.0101622,0.445647,-0.421026,146.222,56.8138,-74.7528,0,5e+08,6.63e-26,1.60218e-19,40Ar+,33
0.0567703,0.383728,-0.406846,23.2005,61.792,-170.489,0,5e+08,6.63e-26,1.60218e-19,40Ar+,33
0.401435,-0.332642,0.364507,199.071,-228.763,310.138,0,5e+08,6.63e-26,1.60218e-19,40Ar+,64
-0.0647347,-0.441694,0.475662,-194.131,174.531,42.3402,0,5e+08,6.63e-26,1.60218e-19,40Ar+,32
-0.0637839,0.389482,0.0459588,126.586,-157.16,-15.7153,0,5e+08,6.63e-26,1.60218e-19,40Ar+,19
-0.357766,-0.404313,0.0719167,-80.9691,12.8422,-39.9662,0,5e+08,6.63e-26,1.60218e-19,40Ar+,15
0.0102204,0.0659191,0.426117,170.654,-156.541,10.3683,0,5e+08,6.63e-26,1.60218e-19,40Ar+,40
0.399751,0.3814,0.144985,119.066,106.458,-310.052,0,5e+08,6.63e-26,1.60218e-19,40Ar+,51
0.389299,-0.23695,-0.316103,94.4654,188.561,-52.6927,0,5e+08,6.63e-26,1.60218e-19,40Ar+,57
0.479567,-0.0475294,0.271517,85.2145,-308.81,-53.6642,0,5e+08,6.63e-26,1.60218e-19,40Ar+,60
-0.349684,-0.270525,-0.482656,-19.1684,61.2949,-236.821,0,5e+08,6.63e-26,1.60218e-19,40Ar+,13
-0.0203472,-0.0634025,-0.244109,11.5835,361.003,-118.03,0,5e+08,6.63e-26,1.60218e-19,40Ar+,26
-0.181953,0.492291,-0.107009,123.398,-33.6384,57.6244,0,5e+08,6.63e-26,1.60218e-19,40Ar+,18
0.233483,-0.258082,0.238852,-147.775,97.7883,333.722,0,5e+08,6.63e-26,1.60218e-19,40Ar+,47
0.168844,-0.00862276,0.227175,50.898,13.088,-299.811,0,5e+08,6.63e-26,1.60218e-19,40Ar+,43
0.278388,-0.29053,-0.237374,140.734,-155.076,-209.39,0,5e+08,6.63e-26,1.60218e-19,40Ar+,62
0.208844,-0.443347,-0.486818,0.295019,43.8039,-167.732,0,5e+08,6.63e-26,1.60218e-19,40Ar+,45
0.39012,-0.218416,0.129753,175.722,-174.532,261.07,0,5e+08,6.63e-26,1.60218e-19,40Ar+,59
0.0309121,-0.0609652,-0.160227,-40.1904,5.82541,174.336,0,5e+08,6.63e-26,1.60218e-19,40Ar+,42
-0.433987,-0.301429,0.0110186,-279.043,-134.635,-184.093,0,5e+08,6.63e-26,1.60218e-19,40Ar+,15
0.237634,0.292422,0.429249,-88.2388,277.78,-127.876,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
0.104455,0.426506,0.434746,-102.679,-20.18,143.556,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
0.456018,-0.162479,0.449648,320.178,181.401,-56.1618,0,5e+08,6.63e-26,1.60218e-19,40Ar+,60
-0.0591577,0.199183,-0.37902,114.632,15.2496,8.17967,0,5e+08,6.63e-26,1.60218e-19,40Ar+,21
-0.186803,0.319235,0.348954,-393.905,51.4807,-213.288,0,5e+08,6.63e-26,1.60218e-19,40Ar+,20
0.180914,0.301509,-0.216804,276.686,-183.17,-29.7264,0,5e+08,6.63e-26,1.60218e-19,40Ar+,34
-0.184727,-0.193946,-0.27557,193.769,147.72,-26.0992,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
0.153218,0.472859,-0.486622,134.709,-64.0444,-526.049,0,5e+08,6.63e-26,1.60218e-19,40Ar+,33
-0.284471,0.2525,0.0711472,-120.708,-78.0266,-61.6444,0,5e+08,6.63e-26,1.60218e-19,40Ar+,3
0.474968,0.0581164,-0.0780456,-43.83,73.2262,133.221,0,5e+08,6.63e-26,1.60218e-19,40Ar+,54
-0.487589,0.292216,-0.178333,46.4535,-63.6979,-67.4664,0,5e+08,6.63e-26,1.60218e-19,40Ar+,2
0.449561,-0.331338,0.492467,181.721,7.87568,97.339,0,5e+08,6.63e-26,1.60218e-19,40Ar+,64
0.386369,0.435916,-0.181092,230.948,113.141,47.3189,0,5e+08,6.63e-26,1.60218e-19,40Ar+,50
-0.477269,-0.272521,0.383967,-124.869,-36.2575,5.00639,0,5e+08,6.63e-26,1.60218e-19,40Ar+,16
0.274456,-0.170061,0.250332,199.876,190.255,40.1707,0,5e+08,6.63e-26,1.60218e-19,40Ar+,59
0.240276,0.473405,0.337966,-91.6459,8.16996,56.5118,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
-0.205083,-0.264938,-0.144973,-42.6166,30.3612,30.4438,0,5e+08,6.63e-26,1.60218e-19,40Ar+,30
-0.158298,-0.0923522,-0.318715,-143.565,112.498,32.9823,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
0.367808,0.239477,0.420462,-140.764,-279.158,208.584,0,5e+08,6.63e-26,1.60218e-19,40Ar+,56
0.077794,-0.103237,0.113375,-79.2153,29.963,-8.02974,0,5e+08,6.63e-26,1.60218e-19,40Ar+,43
-0.13558,-0.175456,-0.0502856,162.379,-170.454,118.69,0,5e+08,6.63e-26,1.60218e-19,40Ar+,26
-0.48418,-0.272441,0.0932203,187.301,92.6027,142.378,0,5e+08,6.63e-26,1.60218e-19,40Ar+,15
-0.118391,-0.189404,-0.418772,4.07985,-74.5426,124.819,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
-0.410748,-0.0469291,0.174977,64.1042,-14.5295,-167.696,0,5e+08,6.63e-26,1.60218e-19,40Ar+,11
0.254311,-0.265838,0.36929,-121.868,96.8699,-186.215,0,5e+08,6.63e-26,1.60218e-19,40Ar+,64
-0.0235228,0.319326,-0.339967,110.052,-46.7764,187.202,0,5e+08,6.63e-26,1.60218e-19,40Ar+,17
0.437232,0.122496,0.0538145,-60.2597,-111.692,59.3028,0,5e+08,6.63e-26,1.60218e-19,40Ar+,55
-0.098351,-0.0482091,0.452768,39.8727,-159.815,189.354,0,5e+08,6.63e-26,1.60218e-19,40Ar+,28
-0.381046,-0.386748,0.0618182,-67.8499,-150.974,-84.6825,0,5e+08,6.63e-26,1.60218e-19,40Ar+,15
-0.247496,-0.343619,0.266833,-73.7132,-84.5999,90.9461,0,5e+08,6.63e-26,1.60218e-19,40Ar+,32
-0.0167781,-0.146659,-0.323951,-192.316,127.345,64.484,0,5e+08,6.63e-26,1.60218e-19,40Ar+,25
0.00547958,0.436613,0.210748,-33.4539,8.23979,31.5673,0,5e+08,6.63e-26,1.60218e-19,40Ar+,35
0.149955,0.346686,-0.093848,31.3807,25.6923,-308.238,0,5e+08,6.63e-26,1.60218e-19,40Ar+,34
-0.183055,0.0202607,-0.310814,98.9127,87.9336,46.8555,0,5e+08,6.63e-26,1.60218e-19,40Ar+,21
0.350863,0.470571,0.233107,-54.1564,-58.7372,-70.9215,0,5e+08,6.63e-26,1.60218e-19,40Ar+,51
0.334904,0.115825,0.331129,-228.663,-9.72278,336.086,0,5e+08,6.63e-26,1.60218e-19,40Ar+,56
-0.454942,0.242238,0.281572,142.126,166.674,-99.3784,0,5e+08,6.63e-26,1.60218e-19,40Ar+,8
-0.313098,0.252156,0.17586,104.212,21.5031,144.756,0,5e+08,6.63e-26,1.60218e-19,40Ar+,3
-0.198619,0.001862,0.435422,-141.303,103.41,-2.454,0,5e+08,6.63e-26,1.60218e-19,40Ar+,28
-0.402263,0.0452517,-0.010201,-50.3984,116.853,-123.065,0,5e+08,6.63e-26,1.60218e-19,40Ar+,6
0.39225,0.406726,0.129105,-222.684,-57.8045,50.0311,0,5e+08,6.63e-26,1.60218e-19,40Ar+,51
-0.0842491,0.280657,0.202009,-160.183,261.256,-52.9516,0,5e+08,6.63e-26,1.60218e-19,40Ar+,19
0.238258,0.321043,0.0118087,97.9406,81.5804,169.987,0,5e+08,6.63e-26,1.60218e-19,40Ar+,35
0.0481,0.332933,-0.116104,135.097,241.491,-103.056,0,5e+08,6.63e-26,1.60218e-19,40Ar+,34
-0.0832977,-0.326856,0.132982,150.448,-22.4775,84.8137,0,5e+08,6.63e-26,1.60218e-19,40Ar+,31
-0.189814,-0.329504,0.0174964,107.143,-189.796,-168.286,0,5e+08,6.63e-26,1.60218e-19,40Ar+,31
0.10064,0.353908,0.446152,-132.768,226.066,72.4335,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
-0.489025,0.407835,0.188907,-12.4018,17.8636,105.385,0,5e+08,6.63e-26,1.60218e-19,40Ar+,3
0.398711,-0.135384,-0.291797,151.804,257.088,-104.287,0,5e+08,6.63e-26,1.60218e-19,40Ar+,57
0.00328445,-0.353352,0.0849813,63.887,177.052,82.9309,0,5e+08,6.63e-26,1.60218e-19,40Ar+,47
-0.334761,0.456932,-0.272349,64.342,120.657,44.4869,0,5e+08,6.63e-26,1.60218e-19,40Ar+,1
-0.120835,-0.108688,-0.0373188,-35.4781,-125.801,-227.525,0,5e+08,6.63e-26,1.60218e-19,40Ar+,26
0.361213,-0.16346,-0.0453347,-79.0479,5.73321,84.1265,0,5e+08,6.63e-26,1.60218e-19,40Ar+,58
-0.219161,0.0676936,-0.203983,-104.274,233.892,55.4656,0,5e+08,6.63e-26,1.60218e-19,40Ar+,22
0.47741,-0.0988867,-0.454694,-216.958,-82.8595,-33.2536,0,5e+08,6.63e-26,1.60218e-19,40Ar+,57
