g_x,g_y,g_z
1.38973,0.702989,1.217
2.99178,1.34863,2.13189
4.1331,1.52273,1.87677
4.47612,1.23974,0.714644
3.4704,0.849562,-0.343484
1.5625,0.381765,-0.426836
3.60482,2.31194,2.85437
7.81341,4.43219,5.10274
10.7915,4.72257,4.51807
11.1897,4.20133,2.05711
8.51671,2.91841,-0.539066
3.68744,1.23257,-0.817727
5.39765,4.22712,3.89132
12.4627,7.9414,7.55247
17.6785,7.82109,6.76352
16.3904,8.09234,3.93166
11.4116,5.74791,0.513877
5.03366,2.29147,-0.679785
5.32303,4.6297,3.79709
12.5286,9.24591,8.04368
18.3163,10.1983,8.64313
16.4296,9.55958,5.02573
11.2166,6.86803,1.42203
5.05605,2.77568,-0.450912
3.68397,3.47719,2.4883
8.64261,7.60751,5.134
12.0487,9.94648,5.91792
11.7146,9.21331,4.0793
7.80135,6.15031,1.63056
3.28205,2.49432,0.179465
1.51869,1.58716,0.975359
3.48314,3.66041,1.95893
4.77891,5.10968,2.32136
4.81963,4.91927,1.76985
3.25203,3.20786,0.909779
1.30547,1.28327,0.238861
2.93447,1.19857,3.08644
6.26073,2.02073,5.59555
8.29441,2.03367,4.73615
8.67484,1.87001,1.55245
6.66347,1.37744,-1.10447
3.10357,0.678662,-1.14865
7.76406,4.72234,7.26037
17.2881,9.63508,14.1171
21.4936,10.5381,12.8115
23.9976,7.70765,4.35814
17.7486,5.49845,-2.76261
7.76337,2.4123,-2.54756
11.9147,9.59467,9.85804
28.6722,22.0407,20.6548
35.052,22.8658,21.5761
37.1664,19.0148,8.25014
26.1962,13.163,-1.60841
10.8993,4.90984,-2.47892
11.6738,10.9564,9.29612
28.0869,25.0945,20.2749
40.0636,30.1988,24.5621
37.4308,25.9749,9.82869
24.2672,17.2542,1.73227
10.4246,6.5253,-1.067
7.68948,8.10985,6.09689
18.0633,18.9574,12.3715
25.2581,26.6768,13.8593
24.125,25.4563,8.35671
15.2351,15.8179,2.81619
6.06807,6.06359,0.0224208
3.03961,3.63816,2.41282
6.86449,8.59847,4.58725
9.24066,12.6751,4.80112
8.93174,12.2671,3.56984
5.90029,8.28399,1.73689
2.26907,3.24946,0.31416
3.57868,1.03311,4.61691
7.59743,1.13355,8.53287
9.28612,0.590996,6.98439
8.67874,1.26281,2.06169
6.86338,1.1069,-1.63097
3.41121,0.640345,-1.59139
9.18768,4.90348,10.9497
21.1091,9.70728,23.3133
26.2119,12.3243,22.4562
25.0159,8.77296,4.3534
19.8802,5.52956,-5.7721
8.888,2.76152,-3.84685
13.8561,11.4747,14.76
34.0976,32.1575,33.9185
46.6206,51.1368,43.7001
46.1873,21.4214,6.88069
35.0557,14.5529,-7.32668
12.685,6.14208,-4.39144
14.1316,14.3923,14.2339
36.4067,37.8072,30.0494
53.7894,55.4195,36.769
49.6857,48.1738,11.6729
27.8244,26.4529,0.150344
10.0922,9.39231,-2.10457
8.93857,10.9741,9.41506
20.8586,26.6731,18.9403
28.5758,38.7371,19.4937
27.7107,39.4157,9.39196
14.9166,24.006,1.84512
5.40335,9.27356,-0.598453
3.38885,4.79524,3.7656
7.17429,11.5589,6.99789
9.10528,17.5966,6.10184
8.21781,17.5822,4.14419
4.74386,12.783,1.37401
1.83862,5.01309,-0.00482308
2.94364,0.71435,4.60932
6.21653,0.703428,8.87519
7.35406,-0.184799,7.47569
5.76366,-0.863647,2.62262
5.00984,0.0242597,-0.738076
2.55275,0.417024,-1.07864
6.9767,3.57161,10.6867
16.1395,6.92394,22.6538
23.9282,11.9359,23.708
14.7666,6.1207,6.92388
12.5399,4.86739,-2.22644
5.9076,2.55765,-2.79574
10.0407,8.77932,14.8068
25.2971,24.7166,33.4885
44.5838,46.8469,42.4715
33.76,23.9427,22.411
19.0567,16.4662,-1.75458
7.30584,6.53925,-4.04486
10.0659,11.9102,14.7505
22.4559,29.8984,31.1495
20.0517,45.2306,30.7022
23.8483,44.4491,16.8129
14.7725,28.6196,1.05359
5.77539,10.5997,-2.03529
6.10421,9.88547,10.6583
12.2268,23.9479,21.1342
13.0472,34.7378,18.2279
6.31621,37.7506,10.448
3.15203,26.5604,0.414516
2.04689,10.2692,-1.18009
2.21899,4.52775,4.17257
4.29699,10.9164,7.62943
4.44908,15.9548,6.6268
1.87773,17.3148,4.24755
0.382233,12.7942,0.889053
0.250505,5.27283,-0.205073
1.70493,0.52519,3.1011
3.6642,0.790511,6.35096
4.65192,0.210958,6.76657
4.21477,-0.557174,3.99369
2.92377,-0.0226396,0.85532
1.30302,0.268341,-0.278301
3.50924,2.20662,7.11802
8.05492,4.49861,14.7911
11.2718,5.17871,17.1073
9.42069,2.72278,11.1157
5.85195,3.44675,2.32937
2.51936,1.99831,-0.731748
3.92061,5.02049,10.0183
7.74272,11.2797,20.8984
10.7574,15.044,21.0411
8.31642,14.7234,15.3286
4.96752,11.1409,3.10159
2.39751,5.0122,-1.09312
2.65452,6.86061,9.53864
-0.576334,16.253,18.428
-9.40912,25.424,16.6908
-7.15235,26.3063,10.772
-0.0372339,18.3396,1.70466
1.32387,7.59931,-0.987085
1.4903,5.85956,6.91042
-0.444928,14.1684,13.5827
-6.083,22.3691,13.4358
-5.95914,26.1427,6.96444
-3.05183,18.3864,0.95267
-0.358874,7.38424,-0.615865
0.60128,2.90618,2.90162
0.419955,7.15208,5.47804
-1.08703,10.7033,5.37312
-2.06701,12.1182,2.9614
-1.75271,9.03584,0.579331
-0.570981,3.82223,-0.179653
0.592893,0.241434,1.25032
1.30289,0.389612,2.61547
1.74839,0.232833,3.13154
1.76666,-0.019024,2.35572
1.05787,0.123103,0.948281
0.404088,0.149854,0.109063
0.948671,0.834962,2.80888
1.82015,1.44645,5.64864
1.86767,1.42807,6.53924
2.34429,1.35799,5.09206
1.46098,1.64437,2.13081
0.580855,0.947821,0.269549
0.461994,1.70614,3.85547
-0.288583,3.15556,7.21664
-1.9358,3.65353,6.8884
-1.57029,5.29398,5.23255
-0.386536,4.75582,2.34107
0.174097,2.2618,0.237561
-0.4557,2.37372,3.70439
-3.52154,5.58757,6.77225
-6.82946,8.24669,6.12186
-6.67542,9.08597,4.3178
-2.91131,7.01645,1.25337
-0.472874,3.24102,-0.165404
-0.513257,2.15444,2.64921
-2.86312,5.33439,5.01696
-5.55012,8.41221,4.99
-5.32954,9.46925,2.86976
-2.84308,6.99981,0.726746
-0.796449,3.08311,-0.164754
-0.180448,1.12812,1.16557
-0.942319,2.83176,2.23793
-1.93236,4.36223,2.29798
-2.03756,4.87701,1.29827
-1.33723,3.6608,0.319374
-0.475481,1.60411,-0.057102
