g_x,g_y,g_z
0.325192,-0.132432,0.917389
0.90156,-0.415805,1.78459
1.48013,-0.701371,1.85506
1.67835,-0.695784,1.13281
1.23863,-0.458739,0.317293
0.522476,-0.165523,-0.03183
0.76403,0.0123883,2.0577
2.1973,-0.166317,4.03601
3.72335,-0.49805,4.11304
4.35073,-0.578253,2.26429
3.11388,-0.364878,0.426751
1.2759,-0.106306,-0.208024
1.04147,0.503671,2.70144
3.03794,1.08135,5.25687
5.31806,1.3049,5.22003
6.37052,1.03305,2.43831
4.53279,0.682122,0.133801
1.83076,0.304807,-0.467349
0.99721,0.906424,2.46184
2.88184,2.15161,4.62137
4.90016,2.92643,4.39892
5.67126,2.67285,1.88022
4.17653,1.91195,-0.192238
1.75569,0.827397,-0.581998
0.628545,0.886566,1.57578
1.78875,2.10728,2.81609
2.99904,3.03768,2.48543
3.25264,3.04798,1.09327
2.48027,2.14673,-0.211052
1.07482,0.910648,-0.415693
0.227564,0.463294,0.601101
0.634163,1.1144,1.03739
1.03493,1.63081,0.879212
1.11043,1.69299,0.385426
0.865341,1.17436,-0.0702343
0.384017,0.496648,-0.152742
0.494325,-0.454105,2.19038
1.4808,-1.38371,4.37471
2.61219,-2.3019,4.55152
3.00551,-2.23172,2.59585
2.16193,-1.37356,0.569354
0.867759,-0.442084,-0.168081
1.17632,-0.246734,5.09852
3.66305,-1.20475,10.4931
6.75456,-2.47823,11.0418
7.88874,-2.38527,5.35822
5.48934,-1.28336,0.419645
2.11495,-0.257532,-0.798031
1.64253,0.986811,6.8964
5.18049,2.45395,14.0949
9.91623,2.88505,14.9748
11.941,2.83207,5.77767
8.17703,2.04952,-0.624685
3.06306,0.921515,-1.60593
1.49505,2.10093,6.29165
4.48913,5.28884,12.366
7.73693,7.41308,11.9798
9.70992,7.72555,3.83898
7.05944,5.24988,-1.49646
2.90982,2.13662,-1.91012
0.812685,2.16509,3.95643
2.33063,5.44406,7.22308
4.13215,8.08139,6.10236
5.27211,8.12227,2.34722
3.93121,5.62319,-1.01162
1.64901,2.28211,-1.24402
0.21737,1.14411,1.46066
0.642217,2.82433,2.5146
1.20657,4.19717,2.07164
1.57779,4.24921,0.900671
1.21738,2.93614,-0.192172
0.537485,1.19883,-0.398088
0.264658,-0.84862,3.06133
1.02726,-2.46451,6.24629
2.13728,-3.90201,6.5049
2.4321,-3.95485,3.41009
1.64767,-2.21739,0.564876
0.615553,-0.658135,-0.327728
0.513062,-0.824121,7.31875
2.12335,-2.89198,15.6243
5.32488,-4.88624,16.9397
5.6645,-4.69503,7.684
3.79233,-2.23188,0.183769
1.38103,-0.324024,-1.42296
0.815422,0.846546,10.3143
3.0326,2.44148,21.8263
7.46474,1.87531,24.095
7.10026,4.0624,8.9122
5.41917,3.35815,-2.01746
1.97658,1.57552,-2.94607
0.475788,2.70817,9.47274
1.53073,7.54866,19.3725
2.58795,12.7913,19.3383
4.23095,13.2126,5.44351
4.04706,8.74,-3.712
1.60314,3.32113,-3.21495
-0.0654076,3.12298,5.86919
-0.496372,8.44818,10.9044
-0.912549,13.003,9.53622
2.13565,12.7237,3.40468
1.40575,8.63148,-1.84973
0.662849,3.34109,-1.97853
-0.207951,1.70386,2.13456
-0.637658,4.26867,3.73082
-0.75223,6.29829,3.166
0.0401334,6.33021,1.4425
0.155088,4.26103,-0.269082
0.132206,1.67542,-0.590114
-0.116892,-0.995251,2.96901
0.00442502,-2.83426,5.9449
0.374316,-4.37444,6.0958
0.499741,-3.99555,3.16909
0.195686,-2.06515,0.5287
0.0151797,-0.565532,-0.34113
-0.529172,-1.25372,7.04022
-0.736907,-4.07006,14.7567
0.0789827,-6.95747,15.9659
-0.415864,-5.46491,7.08056
-0.577637,-1.77575,-0.190156
-0.317421,-0.176479,-1.54807
-1.1761,0.236187,9.92402
-2.3809,0.00591616,21.2287
-2.69879,-1.52613,24.2346
-4.42745,1.44923,9.46637
-2.85244,3.02381,-2.6118
-0.858236,1.60541,-3.10269
-1.68029,2.29841,9.53257
-5.06926,6.36545,19.8405
-9.16203,11.4367,20.4317
-9.95959,11.4499,7.43651
-4.43778,8.31365,-3.71528
-1.18259,3.27333,-3.24012
-1.47543,3.02179,5.96367
-4.54937,8.43081,11.4342
-7.95071,12.8967,10.6582
-7.16181,12.398,4.48145
-4.04411,8.20774,-1.2848
-1.18806,3.20501,-1.85769
-0.726629,1.7416,2.19499
-2.09182,4.47068,4.01923
-3.07743,6.46961,3.65082
-2.67864,6.21864,1.67129
-1.66713,4.13642,-0.0860118
-0.565374,1.63643,-0.516306
-0.337883,-0.753444,2.01831
-0.661893,-1.98875,3.92285
-0.881683,-2.95396,3.94165
-1.06146,-2.60514,2.21401
-0.851566,-1.33258,0.475824
-0.378928,-0.346519,-0.181772
-1.1409,-1.01258,4.72886
-2.58805,-2.915,9.48591
-3.70906,-4.62259,9.70622
-4.32955,-3.62544,5.1041
-3.0691,-1.33096,0.511485
-1.18833,-0.12697,-0.797098
-2.10449,-4.56746e-05,6.53652
-5.57469,-0.384129,13.4082
-8.49552,-0.76764,14.5944
-9.2904,0.596035,7.14285
-5.84864,1.44362,-0.0464402
-2.04985,0.921572,-1.5727
-2.51838,1.47536,6.27988
-7.40434,3.96023,12.5882
-12.2172,5.82978,13.3539
-12.6491,6.69048,5.93481
-7.11422,4.88553,-0.864875
-2.41636,1.99759,-1.7435
-1.92993,2.03499,4.13893
-5.49823,5.27961,7.96377
-8.88005,7.72325,7.79171
-8.79659,7.64831,3.56283
-5.49471,5.25172,-0.400123
-1.93428,2.11183,-1.06663
-0.87133,1.19171,1.5985
-2.32444,2.95718,2.97743
-3.56335,4.25542,2.85432
-3.43032,4.12647,1.44348
-2.28228,2.75486,0.0333209
-0.855501,1.10791,-0.325376
-0.243917,-0.317826,0.814867
-0.574777,-0.788463,1.54905
-0.838079,-1.1085,1.54807
-0.935867,-0.984356,0.975039
-0.702187,-0.52525,0.28768
-0.301754,-0.143236,-0.0280217
-0.75586,-0.42427,1.86965
-1.91082,-1.08154,3.60159
-2.92884,-1.51317,3.7076
-3.05887,-1.31238,2.26982
-2.12178,-0.573557,0.559493
-0.845745,-0.0870873,-0.158542
-1.32866,-0.0401184,2.56352
-3.55361,-0.125461,5.05215
-5.5359,-0.0225415,5.30918
-5.5631,0.18943,3.08642
-3.65642,0.374042,0.589337
-1.3552,0.292682,-0.340021
-1.50628,0.584637,2.45125
-4.09984,1.42659,4.79383
-6.38293,1.92717,5.03245
-6.4481,2.2503,2.66573
-4.04834,1.69556,0.343407
-1.50232,0.749363,-0.426132
-1.14222,0.79583,1.6912
-3.00515,1.93361,3.22387
-4.58872,2.73831,3.22754
-4.62781,2.8016,1.63716
-3.04255,1.97986,0.157561
-1.16124,0.82586,-0.293163
-0.502712,0.477353,0.689791
-1.28022,1.14664,1.28793
-1.89343,1.61821,1.24817
-1.90282,1.5833,0.677606
-1.30055,1.09584,0.0833435
-0.511663,0.451243,-0.111027
