g_x,g_y,g_z
1.55069,-1.96647,1.8051
3.58323,-4.88551,1.41321
3.25839,-5.48446,-1.5818
1.33887,-2.5746,-2.05463
3.78434,-1.90565,4.14054
10.023,-5.17373,3.71349
9.53668,-6.64657,-4.18764
3.44922,-2.81338,-4.75
3.77192,0.725551,3.90832
10.3891,1.7053,3.02004
10.234,1.91633,-4.7078
3.64447,0.742698,-4.71548
1.62926,1.57199,1.68284
4.16109,3.48828,1.07394
3.92581,3.65092,-1.94246
1.5831,1.64145,-2.09652
0.712075,-4.3811,3.92338
1.81119,-11.891,3.30734
0.98752,-12.8764,-4.19888
0.267552,-5.39339,-4.73891
1.95671,-4.2473,9.76114
7.06324,-12.6044,10.0841
6.01284,-15.9579,-11.0459
1.40342,-5.62236,-11.7004
1.61283,3.11667,9.52593
8.59533,7.63727,7.94278
8.86027,7.08801,-13.6675
1.94179,3.06271,-11.1573
0.474059,4.15446,3.86865
2.55697,10.2782,2.83883
2.58449,10.1746,-4.8598
0.760334,4.1107,-4.85041
-2.74091,-4.55179,3.61708
-6.28227,-11.573,2.76425
-6.77925,-11.3501,-4.40904
-3.11428,-4.7571,-4.56876
-6.51334,-3.51653,9.27763
-16.1802,-9.99737,8.09352
-17.9923,-11.5126,-12.103
-7.25136,-4.17786,-11.0819
-7.10844,4.00007,9.57168
-19.9724,11.7947,7.65986
-17.2949,10.6218,-10.8001
-6.28074,3.81089,-10.5932
-3.21775,4.41784,3.78993
-7.20282,10.5258,2.57914
-5.83479,11.1024,-4.7408
-2.38846,4.35912,-4.55648
-2.70396,-1.91452,1.45642
-6.04633,-4.27784,0.896747
-5.93961,-4.23811,-1.79508
-2.7938,-1.91105,-1.98477
-6.16933,-1.45727,3.45813
-14.9803,-3.11094,2.30842
-14.8269,-3.11288,-4.2128
-6.10711,-1.3307,-4.28012
-6.16437,1.6669,3.60393
-15.1401,4.05153,2.41244
-14.4036,4.17847,-4.13477
-5.81522,1.61426,-4.30439
-2.83115,1.97216,1.55411
-6.16099,4.31349,1.01854
-5.65675,4.4628,-1.82113
-2.46706,1.93606,-1.96022
