g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-249.272,85.5238,-830.102
-439.898,-126.24,301.041
-879.717,-616.34,-1697.07
1136.63,-2458.04,441.742
-379.04,-1133.07,-2111.06
879.959,813.145,-1830.47
2099.96,1234.77,-1311.85
846.019,-175.909,-873.196
165.355,-79.8001,312.924
155.512,-379.306,-575.025
-637.29,208.04,512.668
303.76,154.43,-758.045
-376.222,-579.793,-282.108
602.664,1105.08,301.765
2.38039,-45.6865,-361.125
222.687,-953.875,521.798
-338.766,645.729,-14.4544
263.119,-89.7292,56.0239
779.856,197.595,211.555
132.495,963.873,686.375
307.555,-2019.92,-1414.86
-345.243,-892.495,-156.87
595.551,435.914,-161.292
451.374,550.937,209.801
-354.656,2128.92,-153.063
158.947,473.37,-658.671
-1688.11,1896.77,-1793.57
-4849.43,746.515,1957.2
-747.22,-1245.93,-259.066
-520.853,-821.539,1025.71
528.733,2526.88,-1255.4
1053.08,-1991.96,-2265.45
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
