g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
74.0501,42.0555,17.0878
108.567,55.1663,-10.1593
101.388,103.448,13.1037
116.347,98.0699,42.7597
57.9191,14.2015,4.9771
143.419,44.2876,30.5041
117.134,124.646,31.7101
136.354,83.4923,60.4314
76.8333,8.18365,-26.0915
121.377,44.2306,6.3414
159.445,70.7117,21.6248
115.677,62.4114,8.65567
62.277,-22.031,14.7883
94.2584,20.0002,34.2127
123.318,46.4258,46.1285
97.6416,55.5209,28.288
42.9612,-0.683668,6.32755
91.9262,33.1565,-13.0611
101.416,75.4449,10.4937
89.9724,42.0443,21.8881
21.8222,-22.1508,-7.48411
102.58,40.3794,1.49897
107.547,74.893,17.336
114.426,37.9028,20.3239
72.8159,-15.1207,-15.0836
103.507,39.6125,-11.0121
149.715,82.7605,19.7287
92.8379,44.824,37.598
4.67083,-37.468,-28.1094
86.2117,9.37183,28.2556
124.032,64.3229,32.5355
71.8721,75.2566,82.2475
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
