g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1658.02,-1953.36,-250.173
-116.49,-443.429,619.397
938.141,-97.8387,915.97
1308.89,490.872,1976.39
650.79,-1713.81,-85.7021
274.559,2933.11,-1070.32
-556.078,-254.69,59.0279
771.29,1245.73,573.743
-582.944,591.162,148.949
276.579,-77.5019,177.926
157.753,-344.062,129.216
720.303,-1119.04,410.911
714.292,1542.79,248.9
-341.604,-278.681,-629.885
-20.6606,-512.184,147.728
-442.559,-301.895,561.273
929.005,-818.551,1059.93
-270.018,-360.484,-518.73
-1154.41,-730.705,9.68422
-1188.27,-907.877,-967.848
-95.4471,-2264.79,229.991
848.129,-732.271,-350.692
-1493.58,809.868,-2035.29
966.941,-1513.91,-188.788
-287.651,1742.75,1023.83
438.324,-148.501,-656.64
-268.515,713.03,393.512
-3113.04,-1094.16,271.475
2333.08,-2386.72,4554.04
-582.826,952.861,-927.632
583.957,-2928.75,1620.13
347.988,3592.4,-1479.25
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
540.367,671.335,78.1969
266.355,-152.061,505.428
-466.15,-851.946,-25.6418
433.307,1030.08,1221.02
-162.395,689.38,-857.275
-200.417,878.987,-19.4953
-744.138,971.636,-1383.71
419.738,478.214,235.342
39.8041,344.85,-648.38
-503.26,-245.848,-220.168
-638.37,-246.019,-123.559
361.93,-86.3094,-736.597
-490.008,182.401,-76.5831
-357.08,293.692,2.03896
56.3638,807.29,-39.2902
-54.647,-59.958,880.927
-274.25,-117.719,129.33
-715.404,-107.834,678.692
130.321,188.712,-165.945
-1032.31,-530.412,-283.227
1773.69,508.504,-782.178
-1405.25,-597.966,1477.54
745.073,-1547.7,-1048.52
-3777.52,1502.87,1281.28
-479.002,-26.5616,1446.15
1905.57,-649.235,599.304
440.878,1026.93,127.175
-1903.61,1797.83,-459.336
5792.75,4241.64,4662.89
379.361,-995.274,-1414.93
736.091,485.01,-688.048
-1086.45,161.848,752.981
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
