g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
351.171,522.743,754.38
161.351,-234.592,229.714
-932.248,-897.14,970.148
-815.677,-699.783,-201.102
2173.61,-220.815,-640.771
1156.45,220.27,708.251
-36.7208,836.407,-2277.36
-372.432,442.253,555.759
349.657,-197.02,450.158
456.157,-439.39,-131.87
-70.5382,106.259,-116.617
922.284,-32.5792,-1022.42
1274.41,-391.703,777.772
-218.436,483.012,321.309
132.404,-291.59,36.6956
793.731,504.942,75.6733
-426.829,-230.956,96.0814
-444.499,710.483,-339.018
282.34,2415.43,-50.0387
-204.202,-546.447,-1274.17
374.501,-998.233,754.888
-799.53,962.454,818.395
668.045,765.246,-67.1848
172.782,-821.91,-1176.77
-617.254,-53.5919,1961.2
-911.31,272.351,341.288
28.1526,304.95,-1961.14
209.343,809.63,971.978
768.125,218.295,1191.18
-467.712,-287.525,401.615
-129.623,1883.51,1355.84
-5.03464,-700.053,-320.315
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
