g_x,g_y,g_z
-3.4645,10.8732,-0.602324
-5.9516,11.8813,5.31624
-7.62947,8.10695,8.43013
-5.62112,4.07494,6.19265
-6.54876,10.0097,-5.52752
-10.2747,10.1902,4.51285
-13.1825,4.16277,10.4938
-9.99398,0.585252,8.29977
-12.1687,-3.10075,-9.17916
-16.4436,-7.82628,-3.1247
-17.1779,-9.42085,5.83153
-12.0775,-7.18617,6.27617
-7.43991,-6.17746,-5.57374
-10.8895,-10.964,-2.37041
-12.2786,-11.4386,2.67087
-8.98788,-8.04769,3.21477
-0.694726,19.8705,-1.85693
-2.89841,19.9039,8.9258
-5.33612,13.0969,12.3434
-3.36708,6.46991,7.2257
-0.904523,26.2126,-12.879
-2.7088,20.4886,12.6816
-9.48121,7.82891,16.2444
-8.50491,0.685922,10.9009
-12.2918,-5.41776,-18.6758
-16.1981,-21.418,-10.3757
-17.6001,-16.7635,8.83121
-12.381,-11.5197,8.40271
-6.97216,-9.88719,-10.2689
-9.16148,-19.5982,-5.54598
-12.4837,-18.1971,3.23822
-9.18136,-12.626,4.25629
9.88016,17.6111,-2.9963
8.51838,19.2457,6.42839
3.36233,12.1244,11.1077
1.00239,6.43514,7.55511
25.6779,20.5216,-10.7328
16.6895,17.9945,3.03803
4.02878,5.81308,13.4047
-0.369046,-1.53938,10.4305
13.5079,-3.79208,-25.5974
10.2474,-18.9292,-13.7171
-2.18219,-17.0868,5.26819
-3.89747,-12.139,7.32757
4.99129,-7.93359,-11.599
2.63435,-18.4843,-5.94939
-3.78772,-17.9887,1.99343
-4.20331,-12.7249,4.05609
8.63173,10.9054,-1.07423
9.34773,11.9456,4.2792
5.63905,7.8963,7.48736
2.70032,4.05555,5.57343
15.0469,11.6876,-5.22968
15.7727,11.1046,3.92049
7.68721,4.16858,8.65898
2.89674,0.126119,7.13094
10.4415,-0.568219,-10.1136
10.3213,-6.13727,-3.41101
3.84054,-8.9135,4.34117
0.566048,-7.18061,5.32807
5.10464,-4.86455,-6.26239
4.7404,-10.1839,-2.80406
0.940482,-11.071,1.85614
-0.680122,-8.08132,2.95159
