g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-369.501,-99.1706,-168.321
429.382,473.014,514.414
1253.37,-189.551,-615.343
-2038.89,-1940.94,-1419.85
5.64858,-765.9,-307.403
301.301,-841.451,-991.679
-308.793,-892.362,195.842
-979.625,720.755,770.793
-150.025,208.203,83.6911
140.776,813.029,574.625
109.104,379.543,-459.622
-819.333,-268.788,1178.59
-1148.34,-299.475,1473.37
-424.931,-376.564,-977.039
-274.603,358.126,-253.264
-1088.77,71.081,176.756
1260.44,-309.533,-902.213
-988.679,1065.33,1342.23
182.131,554.027,-743.837
343.567,-836.168,-579.399
-578.466,221.466,-2073.5
264.367,763.566,-433.535
-1207.96,-546.94,-74.557
-1.03959,-315.952,225.617
-3989.95,155.422,-2213.18
1300.3,429.939,-128.236
605.907,-143.282,837.561
-929.297,235.379,973.871
-227.798,-486.732,1107.96
1467.84,502.557,-1069.59
-3167.26,1772.58,-1340.04
-490.017,1354.42,1095.81
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
