g_x,g_y,g_z
-0.000882104,-0.0177382,-0.0209188
0.00386367,-0.0182525,-0.0577574
0.0120959,0.0232287,-0.0542963
0.00634397,0.017951,-0.0188877
-0.00635599,-0.0509761,-0.0251606
-0.00363076,-0.090009,-0.107828
0.0361284,0.0862474,-0.101999
0.0142245,0.0453865,-0.0222453
-0.00739262,-0.0495242,0.0149154
-0.0158391,-0.0983918,0.0645779
0.0141935,0.0556627,0.0740167
0.00891997,0.0382594,0.0171011
-0.00287897,-0.0175431,0.0147768
-0.00457871,-0.0231954,0.040015
0.00156844,0.00865675,0.04091
0.00238236,0.0122594,0.0146634
-0.000156853,-0.0125635,-0.0154497
0.00339946,-0.00909487,-0.0348157
0.00820611,0.0146901,-0.0337467
0.00524198,0.0139355,-0.0144066
-0.00240032,-0.030097,-0.0161548
0.00254152,-0.0287652,-0.0400025
0.0155796,0.0356945,-0.0384281
0.00973613,0.0293459,-0.0143654
-0.00360718,-0.0305247,0.00533564
-0.0023546,-0.0346259,0.0163592
0.00844212,0.0204474,0.0194766
0.00691323,0.024075,0.00723947
-0.00186057,-0.0134086,0.00954478
-0.00176137,-0.0146497,0.0224614
0.00181762,0.00411022,0.023277
0.00224653,0.00876051,0.0101266
0.000385489,-0.00340176,-0.00492345
0.00170298,-0.00133721,-0.00907576
0.0027531,0.0041073,-0.00898686
0.0019474,0.00452522,-0.00472458
0.00036743,-0.00681878,-0.00491777
0.00253306,-0.00269959,-0.00794709
0.00408729,0.00626184,-0.00778359
0.00317362,0.00781127,-0.0045004
-5.60241e-05,-0.00734983,-0.000396174
0.00171894,-0.00443134,-0.00103156
0.00325701,0.00362729,-0.000725415
0.00260389,0.00634995,0.000135085
-0.000217949,-0.00412404,0.00203968
0.000390092,-0.00361177,0.00398738
0.00126105,0.000919171,0.00421049
0.00108798,0.00266953,0.00233914
0.000274905,0.000166357,-0.000287743
0.000474921,0.000532228,-4.59176e-05
0.000379793,0.000206501,-9.6245e-05
0.000257343,0.000250511,-0.000323895
0.000569745,0.000654456,-0.000434525
0.000964456,0.00149285,-3.35943e-05
0.000535185,-0.000277284,-0.000112586
0.000367986,7.00948e-06,-0.000476569
0.000549254,0.000500211,-0.000892579
0.00108347,0.00137661,-0.00201307
0.000765991,-0.00012036,-0.0021157
0.000432347,-1.9994e-05,-0.000909074
0.000233111,-4.86698e-05,-0.000440111
0.00051546,0.000226614,-0.00113539
0.000481555,3.94318e-05,-0.00113977
0.000270988,9.79464e-05,-0.000408427
