g_x,g_y,g_z
0.000720932,0.0150366,0.0201855
-0.00225629,0.0292963,0.0430316
-0.00583863,0.0156265,0.0270716
-0.0030407,0.00551965,0.00901287
0.00543304,0.023602,0.0401041
0.00534109,0.069662,0.1227
-0.0160638,0.0428011,0.0618193
-0.006823,0.0152446,0.0177163
0.00750439,0.0101787,0.02499
0.0200702,0.0176899,0.0643275
-0.00141659,0.0329517,0.0653836
-0.00355264,0.0156156,0.0201877
0.00349186,0.00319037,0.00922601
0.0066298,0.00562767,0.022234
0.0021475,0.00869347,0.0243712
-0.000237841,0.00546592,0.00927644
0.00079662,0.0127335,0.0187366
-0.000569076,0.0243463,0.0353896
-0.0030908,0.0204616,0.0281888
-0.00218341,0.00868124,0.0114671
0.00361056,0.0207291,0.0340876
0.00328265,0.0456421,0.0703138
-0.00452505,0.0433991,0.0559398
-0.00377375,0.017676,0.0220813
0.00518654,0.0136816,0.0264176
0.00814179,0.0286581,0.0520947
0.000491729,0.0305207,0.0496114
-0.00194296,0.0153656,0.0219647
0.00282676,0.00498395,0.0110947
0.00441654,0.00986132,0.022116
0.00177583,0.0111754,0.0226055
-0.000114803,0.00643487,0.010841
0.000408815,0.00607186,0.00895506
0.000232867,0.011515,0.0160332
-0.00042652,0.0116012,0.0150986
-0.000535213,0.00580923,0.00736557
0.00117521,0.0103371,0.0156537
0.00117925,0.0198297,0.0276678
7.30295e-05,0.0207055,0.0271495
-0.000635478,0.0103934,0.0135355
0.00158043,0.00895661,0.0142677
0.00178986,0.0175114,0.0256937
0.000717478,0.0173205,0.0247766
-0.000228979,0.00903316,0.0128279
0.00100227,0.00400825,0.00690477
0.00134963,0.00775411,0.0127127
0.000723079,0.00780522,0.0124571
7.48719e-05,0.00421,0.00654433
0.000103703,0.00163641,0.00226238
0.000205113,0.00312329,0.0040617
0.000222775,0.00347018,0.00440868
7.77449e-05,0.00198295,0.00251257
0.000136502,0.00300923,0.00400384
0.00026688,0.00547608,0.00689862
0.000478143,0.00586902,0.00763972
0.000213107,0.00336847,0.00446861
0.000115751,0.00315999,0.00421632
0.000103947,0.00584426,0.0074019
0.00031444,0.00574586,0.00744473
0.000181217,0.00309436,0.00421701
0.000100979,0.00167575,0.00233075
0.000112551,0.00312482,0.00414786
0.000141799,0.00301579,0.00402463
7.67031e-05,0.00157517,0.00220485
