g_x,g_y,g_z
9.37082e-05,-0.00259573,-0.00176134
0.000667528,0.00251048,-0.00925402
0.00175155,0.0161938,-0.0128494
0.000922508,0.0101273,-0.00454471
-0.000138354,-0.014198,0.00428817
0.000715045,-0.0147535,0.000269033
0.00513831,0.0537409,-0.0184357
0.00206359,0.0260211,-0.00211738
-0.000176839,-0.019695,0.0180527
0.00028361,-0.042307,0.0603715
0.00281405,0.0325268,0.0623417
0.00146772,0.0217022,0.0161534
6.70768e-05,-0.00712051,0.0113104
0.000269078,-0.00965093,0.0295175
0.000761883,0.00528494,0.0297201
0.000477229,0.00667066,0.0105754
0.000265886,-0.000960193,0.000428729
0.00091779,0.00502882,-0.00141658
0.00144988,0.0143636,-0.0032846
0.000843924,0.00954523,-0.00150809
0.00041573,-0.00602186,0.00651192
0.00178623,0.00400561,0.0108602
0.00297766,0.0322302,0.0066683
0.00160282,0.0195926,0.00312809
0.00035035,-0.00939062,0.0138326
0.00136405,-0.00672314,0.0299198
0.00218957,0.0183193,0.0299708
0.00128766,0.0155911,0.0126209
0.000183451,-0.00465042,0.00942212
0.000539577,-0.00407159,0.0202978
0.000809411,0.00461309,0.0204637
0.000513447,0.00563913,0.00921228
0.000246758,0.00072433,0.00144592
0.000575374,0.00372075,0.00255891
0.000663446,0.00622869,0.00229511
0.000390273,0.00421473,0.00100867
0.000455303,0.000673286,0.00426919
0.0010739,0.006071,0.00797547
0.00116225,0.0104687,0.00790784
0.000684244,0.00728112,0.00372628
0.000416139,-0.000209303,0.00580646
0.000962139,0.00411529,0.0102109
0.00106051,0.00757846,0.0100594
0.000620085,0.00590375,0.00550002
0.000194664,-0.000564398,0.00388486
0.000436846,0.000850186,0.00719915
0.000499275,0.00285672,0.00718032
0.000294988,0.00251091,0.00383433
0.000107185,0.000681596,0.000834936
0.000192332,0.0014011,0.00170708
0.000172474,0.00138596,0.00180175
9.41138e-05,0.000849415,0.000904352
0.00020104,0.00139252,0.0014922
0.000350455,0.00268197,0.00288259
0.000293602,0.00203763,0.00311632
0.000161815,0.00123636,0.00164724
0.00019283,0.00137693,0.00132121
0.00034811,0.00278321,0.00209613
0.000312509,0.00207613,0.00210778
0.000168043,0.00111351,0.00135269
9.49724e-05,0.000572132,0.000744154
0.000179683,0.0012228,0.00115419
0.000174712,0.00109999,0.00113312
9.42261e-05,0.000600004,0.000737112
