g_x,g_y,g_z
0.000666848,0.0138651,0.00454125
-0.00227806,0.012242,0.0262883
-0.00814485,-0.0307413,0.0290524
-0.00431123,-0.022687,0.00783525
0.00440923,0.041324,-0.00903241
0.0033443,0.0648919,0.00921667
-0.023655,-0.120698,0.023231
-0.00985849,-0.0603836,-0.00423672
0.00511855,0.0426158,-0.0490255
0.0121663,0.0739686,-0.161414
-0.00888268,-0.0996925,-0.178948
-0.00653757,-0.0577305,-0.0526623
0.00103426,0.0125009,-0.0307164
0.00116908,0.00991106,-0.0785217
-0.00131799,-0.0235287,-0.0843821
-0.00175588,-0.0202212,-0.0337625
-8.41557e-05,0.00765109,-0.00087988
-0.0027965,-0.000935266,0.00434926
-0.00613063,-0.0259776,0.00527708
-0.00378099,-0.0201219,0.000478814
0.00115589,0.0199142,-0.0182998
-0.0032914,0.00410195,-0.030925
-0.0118675,-0.0648847,-0.031132
-0.00701536,-0.0443715,-0.0174631
0.00197331,0.0212075,-0.0434792
0.000528549,0.0103626,-0.10637
-0.005651,-0.0553883,-0.109758
-0.00479341,-0.0415701,-0.0457715
0.000759574,0.00815543,-0.0291064
0.000399238,0.00207114,-0.064946
-0.00136636,-0.0196715,-0.0672321
-0.00155128,-0.0173278,-0.031075
-0.000504072,8.80562e-05,-0.00454205
-0.00167278,-0.00542448,-0.00847769
-0.00236564,-0.0113132,-0.00862335
-0.00154016,-0.00847997,-0.00458179
-0.000737954,0.000469822,-0.0145178
-0.00278432,-0.0106496,-0.0284248
-0.00368284,-0.0207984,-0.0292826
-0.00249042,-0.0158934,-0.014996
-0.000423583,0.00102467,-0.021299
-0.00204039,-0.00912344,-0.0417047
-0.00271511,-0.01914,-0.0418047
-0.00192417,-0.0150066,-0.0218227
-6.35148e-05,0.000775518,-0.014058
-0.000576483,-0.00355969,-0.0276004
-0.00102412,-0.00917952,-0.0277978
-0.000782327,-0.00734923,-0.0144551
-0.000304059,-0.00140617,-0.00290925
-0.000541817,-0.0029415,-0.0059095
-0.00046006,-0.0026782,-0.00606497
-0.000270793,-0.00161117,-0.00309401
-0.000599183,-0.00293853,-0.00585897
-0.00103539,-0.00579321,-0.0113538
-0.000703932,-0.0040636,-0.0115682
-0.000400693,-0.0024601,-0.00611259
-0.000562902,-0.00282814,-0.00593004
-0.00106929,-0.00571327,-0.0101032
-0.000813643,-0.00412921,-0.00997414
-0.000407081,-0.0024111,-0.00591346
-0.000227265,-0.00118273,-0.00351389
-0.000464817,-0.00258476,-0.00604748
-0.000434393,-0.00247572,-0.00593001
-0.000226587,-0.00147631,-0.00344237
