g_x,g_y,g_z
-0.000265947,-0.00213198,-0.00200832
-0.000397795,-0.00194465,-0.00442595
4.00984e-07,0.00328701,-0.00464155
-0.000124693,0.00246869,-0.00214315
-0.000860311,-0.0047057,-0.0017823
-0.00170093,-0.00520467,-0.00455809
-0.00107089,0.00655017,-0.00557265
-0.00057502,0.00509055,-0.00250706
-0.00110109,-0.00471268,0.00317124
-0.00200995,-0.00537915,0.00723753
-0.00131866,0.00662888,0.00592219
-0.000399656,0.00523078,0.0021478
-0.00040104,-0.00225816,0.00272377
-0.000582074,-0.00227605,0.00517796
-0.000579684,0.00256194,0.00488607
-0.000208393,0.00239198,0.0020391
-0.000322952,-0.00166937,-0.00155532
-0.000470777,-0.0011427,-0.00357325
-0.000258554,0.00245666,-0.00378439
-0.000152819,0.00221922,-0.00181019
-0.000900587,-0.0038147,-0.000947472
-0.00137657,-0.00351268,-0.00313385
-0.00102244,0.00544405,-0.00406921
-0.000393323,0.00465594,-0.00174308
-0.000954179,-0.00395676,0.00259095
-0.00153093,-0.00416763,0.00572268
-0.00113678,0.00527169,0.00489424
-0.000306256,0.00455766,0.00186242
-0.000454567,-0.00191148,0.00236262
-0.000742751,-0.00171866,0.00468935
-0.00055872,0.00196831,0.0043132
-0.00019157,0.00204125,0.00190994
-0.000200777,-0.000521568,-0.00047696
-0.000322506,-0.000170542,-0.00108022
-0.000266203,0.000852444,-0.0011615
-0.000119918,0.000864901,-0.000582517
-0.000433977,-0.00123433,-6.41525e-05
-0.000710668,-0.000749185,-0.000449921
-0.000593303,0.00169799,-0.0007055
-0.000231793,0.00176151,-0.000395996
-0.000452892,-0.00133764,0.000986254
-0.000737526,-0.000988581,0.00200685
-0.000591449,0.00164084,0.00162417
-0.00021373,0.00170879,0.000657232
-0.000245585,-0.000703921,0.000926515
-0.000401569,-0.000482181,0.00180292
-0.000321568,0.000658054,0.00164659
-0.000122257,0.000766572,0.000741402
-6.21803e-05,8.21883e-06,-1.11014e-05
-0.000112611,9.24306e-05,5.01041e-06
-0.000101905,0.000106962,-3.34958e-05
-4.36927e-05,0.000131091,-5.0958e-05
-0.000123004,-5.74143e-05,9.54059e-05
-0.000212857,9.22384e-05,0.000210243
-0.000175234,0.00021466,0.00013888
-8.01473e-05,0.000255182,1.99214e-05
-0.000139308,-7.74756e-05,0.000157584
-0.000215242,7.14684e-05,0.000298916
-0.000180187,0.000209968,0.000276891
-8.12481e-05,0.000233417,0.00012162
-7.52817e-05,-5.35091e-05,0.000152027
-0.000123508,2.3378e-06,0.000270779
-0.000104948,8.0034e-05,0.000242883
-4.79826e-05,8.85564e-05,0.000110949
