g_x,g_y,g_z
0.00692371,0.0339384,0.0305081
0.00938784,0.0271569,0.0682673
-0.00254425,-0.0652971,0.0720358
0.0030294,-0.0417571,0.0283048
0.0216322,0.0798785,0.0153171
0.0612302,0.0833779,0.0404522
0.0717356,-0.0994723,0.0958297
0.0246609,-0.0827798,0.038072
0.021224,0.0847564,-0.0735396
0.0603368,0.0782037,-0.168319
0.0567687,-0.157419,-0.141693
0.0148702,-0.0939225,-0.0467315
0.013279,0.0360194,-0.0582308
0.025811,0.0271517,-0.109747
0.0213129,-0.0613424,-0.0947654
0.00652923,-0.0421397,-0.0375756
0.0078367,0.0258961,0.019192
0.0104608,0.0133118,0.0491407
0.00822311,-0.0486046,0.0499708
0.00460814,-0.0406235,0.0218543
0.0238148,0.0621923,-0.00585516
0.0370118,0.047813,0.0132485
0.0289257,-0.116252,0.0309636
0.0135504,-0.0869453,0.0126475
0.0275286,0.0688423,-0.0769364
0.0521059,0.0636858,-0.172175
0.0322429,-0.119844,-0.150511
0.00784554,-0.088135,-0.0567138
0.014345,0.0310629,-0.0558019
0.0233513,0.0241207,-0.111624
0.0154145,-0.0431135,-0.100651
0.00444985,-0.0384343,-0.0432064
0.00515766,0.00648242,0.00105562
0.00785693,-0.00236428,0.00439328
0.0068879,-0.0198252,0.00463765
0.00314708,-0.0174918,0.002051
0.0117603,0.0187078,-0.0163034
0.0180757,0.00883924,-0.0257432
0.0130506,-0.0402217,-0.0218778
0.00517435,-0.036204,-0.00828241
0.0135918,0.0229121,-0.0388607
0.0209026,0.0160854,-0.0791971
0.0127947,-0.0396285,-0.0678456
0.00447499,-0.0354512,-0.0292398
0.00732598,0.0118015,-0.0273622
0.0111505,0.00742922,-0.0527874
0.00763892,-0.0149788,-0.0482526
0.00257778,-0.0156259,-0.0219473
0.00162572,-0.00208903,-0.00251147
0.00262233,-0.00423518,-0.00786539
0.00232443,-0.00432644,-0.00766777
0.000988749,-0.00301849,-0.0032303
0.00309312,-0.000416165,-0.00830977
0.00487506,-0.00400715,-0.0179972
0.00337259,-0.0071092,-0.0165433
0.00120635,-0.00658465,-0.00652056
0.00372658,-0.000229411,-0.0105425
0.0046022,-0.00213299,-0.0200704
0.00313887,-0.00566479,-0.0190881
0.00124151,-0.00633619,-0.00900198
0.00197475,-4.04001e-05,-0.00731593
0.00286042,-0.000464585,-0.0123028
0.00196507,-0.00233282,-0.0109916
0.00112933,-0.00246506,-0.00589025
