g_x,g_y,g_z
26.9576,-29.8646,7.87566
39.4394,-43.7716,4.73991
45.1473,-41.3965,-15.8229
34.4515,-26.8225,-18.2752
34.7328,-32.7087,16.1707
49.2912,-49.6492,16.9629
59.647,-45.4598,-21.3286
46.5185,-27.9412,-25.3132
30.7359,-8.88983,18.0969
41.417,-5.59807,20.4387
51.5627,-0.468323,-15.5643
42.484,-3.71962,-22.46
22.3605,0.600013,10.3233
32.0293,4.64498,8.72117
37.7864,7.38058,-10.9989
29.8795,3.90215,-15.2055
27.0035,-39.3538,12.4522
37.5482,-59.6252,11.5288
47.6439,-55.3669,-26.4392
38.8569,-34.609,-28.9458
30.8001,-43.148,28.4138
38.3896,-82.9578,53.0419
61.3601,-74.3221,-43.5765
50.1686,-35.6719,-40.9351
23.1834,0.590161,31.8822
16.2746,25.3171,60.9053
37.7932,39.0203,-24.5804
42.3392,9.21968,-35.1178
19.8674,8.67182,16.1668
25.2842,20.5509,17.784
35.6031,25.829,-18.183
31.7796,13.921,-24.0569
8.54113,-28.0168,6.9356
3.12905,-38.441,1.36197
15.0216,-34.0528,-34.3352
21.0098,-23.1933,-33.4495
-3.46401,-21.9033,18.2288
-49.2056,-27.9099,27.7014
-18.5023,-17.4705,-57.4804
17.1811,-14.0448,-48.481
-7.90245,17.9304,19.8748
-56.2138,62.1626,26.6885
-23.9075,74.087,-45.8468
13.156,26.4631,-44.3219
2.74723,18.3712,9.93384
-5.77143,37.7123,5.78916
6.60292,42.6678,-27.6137
15.4009,23.5867,-29.2108
3.57733,-15.7192,0.932291
2.30333,-21.2265,-6.08632
8.69244,-18.817,-25.637
11.5233,-12.6289,-24.4889
-2.25755,-10.4364,5.07696
-12.8301,-12.1395,-1.10219
-0.868091,-7.6723,-36.7532
10.3604,-5.53056,-34.9927
-4.83274,11.7174,6.24394
-17.0237,27.6572,0.402179
-4.94195,32.5526,-32.7966
7.87123,16.8639,-32.8511
-0.0298491,13.5658,2.87055
-3.20003,24.9239,-3.07579
3.31403,27.6014,-21.7131
7.99537,16.855,-21.898
