g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-5.55544,-12.222,-6.66653
-17.2219,-12.222,-34.4438
-17.7774,-29.9994,-7.77762
-61.6654,-17.2219,-49.999
3.33327,-37.2215,-3.88881
-4.9999,-9.44426,-10.5553
-8.88871,1.11109,-7.22208
-17.7774,-32.2216,-7.77762
-6.66653,-21.1107,0
0,-4.44436,-7.22208
-6.66653,6.66653,-8.33317
2.22218,-25.555,17.7774
16.6663,-2.22218,-35.5548
-1.66663,6.66653,-1.11109
-2.77772,-1.66663,-2.22218
-13.3331,-8.88871,-13.3331
-52.7767,-25.555,-26.6661
-6.11099,4.44436,-8.88871
-29.4439,-15.5552,-14.9997
-6.66653,-4.44436,-1.11109
3.10862e-15,-13.3331,-6.11099
0,0,-22.2218
-3.33327,-12.222,-17.2219
-23.8884,-19.9996,-27.7772
-53.8878,-26.6661,-27.2217
-29.9994,-63.8876,-17.2219
-3.88881,-30.5549,-47.2213
-66.6653,-60.5543,-30.5549
-36.6659,-41.1103,-28.3328
-54.4434,-7.77762,-18.8885
-86.1094,-49.999,-45.5546
-14.9997,-23.3329,-7.77762
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
